"DateTime","Hashrate [H/s]"
"2015-07-30 00:00:00",11114385476.970116
"2015-07-31 00:00:00",51376122066.934326
"2015-08-01 00:00:00",57794141228.188614
"2015-08-02 00:00:00",67898971177.43793
"2015-08-03 00:00:00",74572708585.51213
"2015-08-04 00:00:00",82043945494.9679
"2015-08-05 00:00:00",86146792186.78009
"2015-08-06 00:00:00",88328908216.25505
"2015-08-07 00:00:00",95297747680.08574
"2015-08-08 00:00:00",104892236890.68661
"2015-08-09 00:00:00",109676945486.00594
"2015-08-10 00:00:00",120610799179.86685
"2015-08-11 00:00:00",134766886331.01135
"2015-08-12 00:00:00",142999727420.30008
"2015-08-13 00:00:00",156606018231.6652
"2015-08-14 00:00:00",196722874450.41745
"2015-08-15 00:00:00",227666580264.11252
"2015-08-16 00:00:00",231942202730.5976
"2015-08-17 00:00:00",258915864704.97623
"2015-08-18 00:00:00",270470331405.1701
"2015-08-19 00:00:00",284044135458.74896
"2015-08-20 00:00:00",221468069464.52365
"2015-08-21 00:00:00",277264309584.1529
"2015-08-22 00:00:00",312618144214.4504
"2015-08-23 00:00:00",317162749742.86755
"2015-08-24 00:00:00",333335492749.4958
"2015-08-25 00:00:00",325201816315.5513
"2015-08-26 00:00:00",343102359407.49677
"2015-08-27 00:00:00",341118418029.7617
"2015-08-28 00:00:00",355219519712.2838
"2015-08-29 00:00:00",351443303076.76965
"2015-08-30 00:00:00",340150290111.12396
"2015-08-31 00:00:00",359341490868.543
"2015-09-01 00:00:00",363512354041.698
"2015-09-02 00:00:00",355779356315.6632
"2015-09-03 00:00:00",339122685054.73224
"2015-09-04 00:00:00",349982135771.7626
"2015-09-05 00:00:00",374913124969.13855
"2015-09-06 00:00:00",388433114376.0261
"2015-09-07 00:00:00",379841573551.5646
"2015-09-08 00:00:00",370785471097.47675
"2015-09-09 00:00:00",386137579874.69745
"2015-09-10 00:00:00",392080890204.31866
"2015-09-11 00:00:00",421668550189.3094
"2015-09-12 00:00:00",424171784401.56116
"2015-09-13 00:00:00",432689994307.2215
"2015-09-14 00:00:00",399653850867.3432
"2015-09-15 00:00:00",387803268389.21985
"2015-09-16 00:00:00",383930083751.5959
"2015-09-17 00:00:00",362139920116.9269
"2015-09-18 00:00:00",346369552395.5566
"2015-09-19 00:00:00",357412908756.80505
"2015-09-20 00:00:00",408789286948.85815
"2015-09-21 00:00:00",410003700796.69305
"2015-09-22 00:00:00",410100833216.8075
"2015-09-23 00:00:00",438890619972.7018
"2015-09-24 00:00:00",436218902911.8599
"2015-09-25 00:00:00",443478115525.52435
"2015-09-26 00:00:00",440625930564.9877
"2015-09-27 00:00:00",426457256785.20917
"2015-09-28 00:00:00",391416619822.8285
"2015-09-29 00:00:00",347260201936.5525
"2015-09-30 00:00:00",332846785960.13605
"2015-10-01 00:00:00",365320370591.24304
"2015-10-02 00:00:00",378477872389.22394
"2015-10-03 00:00:00",390965346687.0846
"2015-10-04 00:00:00",371097040215.86743
"2015-10-05 00:00:00",385593881655.11066
"2015-10-06 00:00:00",368489379086.96387
"2015-10-07 00:00:00",366973205023.93115
"2015-10-08 00:00:00",375201688580.61127
"2015-10-09 00:00:00",364870086204.62585
"2015-10-10 00:00:00",360603795392.2112
"2015-10-11 00:00:00",381956474380.06226
"2015-10-12 00:00:00",386254502402.4835
"2015-10-13 00:00:00",397934772325.2568
"2015-10-14 00:00:00",394174872462.2717
"2015-10-15 00:00:00",372916030147.1972
"2015-10-16 00:00:00",347004215423.2046
"2015-10-17 00:00:00",373030407773.2442
"2015-10-18 00:00:00",362435658041.0878
"2015-10-19 00:00:00",360920293657.10657
"2015-10-20 00:00:00",359406256763.7791
"2015-10-21 00:00:00",359015928569.1718
"2015-10-22 00:00:00",341132964350.5037
"2015-10-23 00:00:00",380733704574.4768
"2015-10-24 00:00:00",400712364373.1814
"2015-10-25 00:00:00",415421916600.34485
"2015-10-26 00:00:00",399352419351.6231
"2015-10-27 00:00:00",423606935733.2006
"2015-10-28 00:00:00",425217897400.9677
"2015-10-29 00:00:00",457118050622.9961
"2015-10-30 00:00:00",485181790381.15594
"2015-10-31 00:00:00",512482245181.44855
"2015-11-01 00:00:00",520751967660.39966
"2015-11-02 00:00:00",494438532535.90784
"2015-11-03 00:00:00",480200507886.796
"2015-11-04 00:00:00",508443346287.70154
"2015-11-05 00:00:00",489331291049.57086
"2015-11-06 00:00:00",491429618712.9394
"2015-11-07 00:00:00",478048414469.79395
"2015-11-08 00:00:00",498826132097.01483
"2015-11-09 00:00:00",496545107607.66406
"2015-11-10 00:00:00",505390345517.765
"2015-11-11 00:00:00",509043487356.8345
"2015-11-12 00:00:00",517330958182.5019
"2015-11-13 00:00:00",528346135780.6941
"2015-11-14 00:00:00",534865998775.5891
"2015-11-15 00:00:00",550254722975.1752
"2015-11-16 00:00:00",541283940502.0856
"2015-11-17 00:00:00",535672271868.95404
"2015-11-18 00:00:00",550612437838.644
"2015-11-19 00:00:00",552743812354.594
"2015-11-20 00:00:00",472848994779.9464
"2015-11-21 00:00:00",480042302797.3034
