"DateTime","Total Daily Block Mining Reward [Ether]"
"2015-07-30 00:00:00",34763
"2015-07-31 00:00:00",34395
"2015-08-01 00:00:00",26517
"2015-08-02 00:00:00",26852
"2015-08-03 00:00:00",26469
"2015-08-04 00:00:00",26912
"2015-08-05 00:00:00",26233
"2015-08-06 00:00:00",25644
"2015-08-07 00:00:00",26009
"2015-08-08 00:00:00",26352
"2015-08-09 00:00:00",25681
"2015-08-10 00:00:00",26340
"2015-08-11 00:00:00",26468
"2015-08-12 00:00:00",25694
"2015-08-13 00:00:00",26509
"2015-08-14 00:00:00",29132
"2015-08-15 00:00:00",26979
"2015-08-16 00:00:00",25720
"2015-08-17 00:00:00",26794
"2015-08-18 00:00:00",24801
"2015-08-19 00:00:00",26016
"2015-08-20 00:00:00",20160
"2015-08-21 00:00:00",25493
"2015-08-22 00:00:00",26405
"2015-08-23 00:00:00",25115
"2015-08-24 00:00:00",25979
"2015-08-25 00:00:00",25537
"2015-08-26 00:00:00",25062
"2015-08-27 00:00:00",23582
"2015-08-28 00:00:00",23305
"2015-08-29 00:00:00",21681
"2015-08-30 00:00:00",20803
"2015-08-31 00:00:00",20638
"2015-09-01 00:00:00",19717
"2015-09-02 00:00:00",17906
"2015-09-03 00:00:00",16935
"2015-09-04 00:00:00",22251
"2015-09-05 00:00:00",24648
"2015-09-06 00:00:00",24944
"2015-09-07 00:00:00",24224
"2015-09-08 00:00:00",24669
"2015-09-09 00:00:00",25229
"2015-09-10 00:00:00",25075
"2015-09-11 00:00:00",25769
"2015-09-12 00:00:00",25183
"2015-09-13 00:00:00",24910
"2015-09-14 00:00:00",24311
"2015-09-15 00:00:00",24269
"2015-09-16 00:00:00",24844
"2015-09-17 00:00:00",24098
"2015-09-18 00:00:00",24508
"2015-09-19 00:00:00",25467
"2015-09-20 00:00:00",26586
"2015-09-21 00:00:00",25428
"2015-09-22 00:00:00",25302
"2015-09-23 00:00:00",25877
"2015-09-24 00:00:00",25158
"2015-09-25 00:00:00",25687
"2015-09-26 00:00:00",24703
"2015-09-27 00:00:00",23913
"2015-09-28 00:00:00",23733
"2015-09-29 00:00:00",23249
"2015-09-30 00:00:00",23841
"2015-10-01 00:00:00",26108
"2015-10-02 00:00:00",25766
"2015-10-03 00:00:00",25431
"2015-10-04 00:00:00",24474
"2015-10-05 00:00:00",25091
"2015-10-06 00:00:00",24072
"2015-10-07 00:00:00",25066
"2015-10-08 00:00:00",25802
"2015-10-09 00:00:00",24563
"2015-10-10 00:00:00",24522
"2015-10-11 00:00:00",25412
"2015-10-12 00:00:00",25784
"2015-10-13 00:00:00",25587
"2015-10-14 00:00:00",24720
"2015-10-15 00:00:00",24671
"2015-10-16 00:00:00",24458
"2015-10-17 00:00:00",25329
"2015-10-18 00:00:00",24771
"2015-10-19 00:00:00",24920
"2015-10-20 00:00:00",25002
"2015-10-21 00:00:00",24995
"2015-10-22 00:00:00",24223
"2015-10-23 00:00:00",26367
"2015-10-24 00:00:00",25908
"2015-10-25 00:00:00",25535
"2015-10-26 00:00:00",24597
"2015-10-27 00:00:00",26159
"2015-10-28 00:00:00",24897
"2015-10-29 00:00:00",25861
"2015-10-30 00:00:00",26224
"2015-10-31 00:00:00",25732
"2015-11-01 00:00:00",25888
"2015-11-02 00:00:00",25203
"2015-11-03 00:00:00",25515
"2015-11-04 00:00:00",25711
"2015-11-05 00:00:00",25589
"2015-11-06 00:00:00",25780
"2015-11-07 00:00:00",24696
"2015-11-08 00:00:00",25194
"2015-11-09 00:00:00",25200
"2015-11-10 00:00:00",25355
"2015-11-11 00:00:00",25250
"2015-11-12 00:00:00",25503
"2015-11-13 00:00:00",25701
"2015-11-14 00:00:00",25746
"2015-11-15 00:00:00",26063
"2015-11-16 00:00:00",25285
"2015-11-17 00:00:00",25895
"2015-11-18 00:00:00",25451
"2015-11-19 00:00:00",24955
"2015-11-20 00:00:00",23668
"2015-11-21 00:00:00",25241
"2015-11-22 00:00:00",25317
"2015-11-23 00:00:00",25520
"2015-11-24 00:00:00",25081
"2015-11-25 00:00:00",24773
"2015-11-26 00:00:00",24776
"2015-11-27 00:00:00",25953
"2015-11-28 00:00:00",25129
"2015-11-29 00:00:00",25336
"2015-11-30 00:00:00",25481
"2015-12-01 00:00:00",25478
"2015-12-02 00:00:00",24198
"2015-12-03 00:00:00",26109
"2015-12-04 00:00:00",25108
"2015-12-05 00:00:00",25094
"2015-12-06 00:00:00",24636
"2015-12-07 00:00:00",24932
"2015-12-08 00:00:00",24628
"2015-12-09 00:00:00",26134
"2015-12-10 00:00:00",25793
"2015-12-11 00:00:00",25381
"2015-12-12 00:00:00",25456
"2015-12-13 00:00:00",26462
"2015-12-14 00:00:00",25066
"2015-12-15 00:00:00",25420
"2015-12-16 00:00:00",24974
"2015-12-17 00:00:00",25366
"2015-12-18 00:00:00",25165
"2015-12-19 00:00:00",25253
"2015-12-20 00:00:00",24805
"2015-12-21 00:00:00",24945
"2015-12-22 00:00:00",25716
"2015-12-23 00:00:00",25636
"2015-12-24 00:00:00",25156
"2015-12-25 00:00:00",25458
"2015-12-26 00:00:00",25083
"2015-12-27 00:00:00",25163
"2015-12-28 00:00:00",25474
"2015-12-29 00:00:00",24977
"2015-12-30 00:00:00",25206
"2015-12-31 00:00:00",25270
"2016-01-01 00:00:00",24493
"2016-01-02 00:00:00",25554
"2016-01-03 00:00:00",25753
"2016-01-04 00:00:00",25561
"2016-01-05 00:00:00",25721
"2016-01-06 00:00:00",25540
"2016-01-07 00:00:00",24992
"2016-01-08 00:00:00",25967
"2016-01-09 00:00:00",25581
"2016-01-10 00:00:00",25540
"2016-01-11 00:00:00",25596
"2016-01-12 00:00:00",24701
"2016-01-13 00:00:00",25073
"2016-01-14 00:00:00",25510
"2016-01-15 00:00:00",25477
"2016-01-16 00:00:00",25284
"2016-01-17 00:00:00",25239
"2016-01-18 00:00:00",25412
"2016-01-19 00:00:00",24911
"2016-01-20 00:00:00",25246
"2016-01-21 00:00:00",24861
"2016-01-22 00:00:00",25086
"2016-01-23 00:00:00",24687
"2016-01-24 00:00:00",25899
"2016-01-25 00:00:00",24459
"2016-01-26 00:00:00",25811
"2016-01-27 00:00:00",24965
"2016-01-28 00:00:00",25347
"2016-01-29 00:00:00",24958
"2016-01-30 00:00:00",25131
"2016-01-31 00:00:00",24415
"2016-02-01 00:00:00",25131
"2016-02-02 00:00:00",24821
"2016-02-03 00:00:00",26049
"2016-02-04 00:00:00",25362
"2016-02-05 00:00:00",25285
"2016-02-06 00:00:00",24994
"2016-02-07 00:00:00",25487
"2016-02-08 00:00:00",25409
"2016-02-09 00:00:00",25325
"2016-02-10 00:00:00",24861
"2016-02-11 00:00:00",25152
"2016-02-12 00:00:00",25221
"2016-02-13 00:00:00",25524
"2016-02-14 00:00:00",25008
"2016-02-15 00:00:00",24931
"2016-02-16 00:00:00",25180
"2016-02-17 00:00:00",24343
"2016-02-18 00:00:00",25046
"2016-02-19 00:00:00",25227
"2016-02-20 00:00:00",25309
"2016-02-21 00:00:00",25328
"2016-02-22 00:00:00",25567
"2016-02-23 00:00:00",24901
"2016-02-24 00:00:00",25198
"2016-02-25 00:00:00",25690
"2016-02-26 00:00:00",25332
"2016-02-27 00:00:00",25011
"2016-02-28 00:00:00",25198
"2016-02-29 00:00:00",24148
"2016-03-01 00:00:00",25312
"2016-03-02 00:00:00",25481
"2016-03-03 00:00:00",25115
"2016-03-04 00:00:00",25012
"2016-03-05 00:00:00",25732
"2016-03-06 00:00:00",24575
"2016-03-07 00:00:00",25169
"2016-03-08 00:00:00",25119
"2016-03-09 00:00:00",24982
"2016-03-10 00:00:00",26011
"2016-03-11 00:00:00",25366
"2016-03-12 00:00:00",25165
"2016-03-13 00:00:00",25985
"2016-03-14 00:00:00",25580
"2016-03-15 00:00:00",29956
"2016-03-16 00:00:00",30188
"2016-03-17 00:00:00",30485
"2016-03-18 00:00:00",29878
"2016-03-19 00:00:00",30487
"2016-03-20 00:00:00",30201
"2016-03-21 00:00:00",30035
"2016-03-22 00:00:00",30418
"2016-03-23 00:00:00",29936
"2016-03-24 00:00:00",30578
"2016-03-25 00:00:00",30400
"2016-03-26 00:00:00",30544
"2016-03-27 00:00:00",30294
"2016-03-28 00:00:00",30055
"2016-03-29 00:00:00",30113
"2016-03-30 00:00:00",30303
"2016-03-31 00:00:00",30164
"2016-04-01 00:00:00",30472
"2016-04-02 00:00:00",29744
"2016-04-03 00:00:00",30247
"2016-04-04 00:00:00",30500
"2016-04-05 00:00:00",30230
"2016-04-06 00:00:00",30078
"2016-04-07 00:00:00",29828
"2016-04-08 00:00:00",30576
"2016-04-09 00:00:00",29724
"2016-04-10 00:00:00",30392
"2016-04-11 00:00:00",29743
"2016-04-12 00:00:00",30134
"2016-04-13 00:00:00",30140
"2016-04-14 00:00:00",30164
"2016-04-15 00:00:00",30360
"2016-04-16 00:00:00",30160
"2016-04-17 00:00:00",30139
"2016-04-18 00:00:00",30346
"2016-04-19 00:00:00",29912
"2016-04-20 00:00:00",30321
"2016-04-21 00:00:00",30015
"2016-04-22 00:00:00",30220
"2016-04-23 00:00:00",30322
"2016-04-24 00:00:00",29977
"2016-04-25 00:00:00",30593
"2016-04-26 00:00:00",29828
"2016-04-27 00:00:00",30381
"2016-04-28 00:00:00",30219
"2016-04-29 00:00:00",30219
"2016-04-30 00:00:00",30361
"2016-05-01 00:00:00",29768
"2016-05-02 00:00:00",30468
"2016-05-03 00:00:00",30340
"2016-05-04 00:00:00",29969
"2016-05-05 00:00:00",30258
"2016-05-06 00:00:00",30183
"2016-05-07 00:00:00",30013
"2016-05-08 00:00:00",30327
"2016-05-09 00:00:00",30290
"2016-05-10 00:00:00",30133
"2016-05-11 00:00:00",29644
"2016-05-12 00:00:00",30572
