"DateTime","Total Daily Mining Reward [Ether]"
"2015-07-30 00:00:00",39316
"2015-07-31 00:00:00",36192
"2015-08-01 00:00:00",27706
"2015-08-02 00:00:00",28223
"2015-08-03 00:00:00",27977
"2015-08-04 00:00:00",28478
"2015-08-05 00:00:00",27529
"2015-08-06 00:00:00",27075
"2015-08-07 00:00:00",27475
"2015-08-08 00:00:00",28012
"2015-08-09 00:00:00",27192
"2015-08-10 00:00:00",27849
"2015-08-11 00:00:00",28039
"2015-08-12 00:00:00",27404
"2015-08-13 00:00:00",28293
"2015-08-14 00:00:00",31121
"2015-08-15 00:00:00",28521
"2015-08-16 00:00:00",27101
"2015-08-17 00:00:00",28127
"2015-08-18 00:00:00",26175
"2015-08-19 00:00:00",27297
"2015-08-20 00:00:00",21064
"2015-08-21 00:00:00",26699
"2015-08-22 00:00:00",27593
"2015-08-23 00:00:00",26264
"2015-08-24 00:00:00",27342
"2015-08-25 00:00:00",26744
"2015-08-26 00:00:00",26145
"2015-08-27 00:00:00",24541
"2015-08-28 00:00:00",24235
"2015-08-29 00:00:00",22531
"2015-08-30 00:00:00",21459
"2015-08-31 00:00:00",21301
"2015-09-01 00:00:00",20351
"2015-09-02 00:00:00",18395
"2015-09-03 00:00:00",17388
"2015-09-04 00:00:00",23092
"2015-09-05 00:00:00",25638
"2015-09-06 00:00:00",26176
"2015-09-07 00:00:00",25470
"2015-09-08 00:00:00",25903
"2015-09-09 00:00:00",26437
"2015-09-10 00:00:00",26452
"2015-09-11 00:00:00",27249
"2015-09-12 00:00:00",26412
"2015-09-13 00:00:00",26181
"2015-09-14 00:00:00",25598
"2015-09-15 00:00:00",25624
"2015-09-16 00:00:00",26333
"2015-09-17 00:00:00",25444
"2015-09-18 00:00:00",25914
"2015-09-19 00:00:00",27188
"2015-09-20 00:00:00",27994
"2015-09-21 00:00:00",26662
"2015-09-22 00:00:00",26382
"2015-09-23 00:00:00",27091
"2015-09-24 00:00:00",26396
"2015-09-25 00:00:00",27013
"2015-09-26 00:00:00",25920
"2015-09-27 00:00:00",25020
"2015-09-28 00:00:00",24723
"2015-09-29 00:00:00",24377
"2015-09-30 00:00:00",25102
"2015-10-01 00:00:00",27431
"2015-10-02 00:00:00",26923
"2015-10-03 00:00:00",26464
"2015-10-04 00:00:00",25490
"2015-10-05 00:00:00",26148
"2015-10-06 00:00:00",25047
"2015-10-07 00:00:00",26146
"2015-10-08 00:00:00",26794
"2015-10-09 00:00:00",25459
"2015-10-10 00:00:00",25511
"2015-10-11 00:00:00",26520
"2015-10-12 00:00:00",26811
"2015-10-13 00:00:00",26681
"2015-10-14 00:00:00",25887
"2015-10-15 00:00:00",25629
"2015-10-16 00:00:00",25463
"2015-10-17 00:00:00",26463
"2015-10-18 00:00:00",25861
"2015-10-19 00:00:00",25978
"2015-10-20 00:00:00",26204
"2015-10-21 00:00:00",26057
"2015-10-22 00:00:00",25344
"2015-10-23 00:00:00",27572
"2015-10-24 00:00:00",27126
"2015-10-25 00:00:00",26823
"2015-10-26 00:00:00",25926
"2015-10-27 00:00:00",27545
"2015-10-28 00:00:00",26359
"2015-10-29 00:00:00",27520
"2015-10-30 00:00:00",27737
"2015-10-31 00:00:00",27763
"2015-11-01 00:00:00",28196
"2015-11-02 00:00:00",27145
"2015-11-03 00:00:00",27618
"2015-11-04 00:00:00",27726
"2015-11-05 00:00:00",27302
"2015-11-06 00:00:00",27438
"2015-11-07 00:00:00",26747
"2015-11-08 00:00:00",27319
"2015-11-09 00:00:00",27071
"2015-11-10 00:00:00",27459
"2015-11-11 00:00:00",27850
"2015-11-12 00:00:00",28050
"2015-11-13 00:00:00",28200
"2015-11-14 00:00:00",28376
"2015-11-15 00:00:00",28132
"2015-11-16 00:00:00",27405
"2015-11-17 00:00:00",27803
"2015-11-18 00:00:00",27262
"2015-11-19 00:00:00",26579
"2015-11-20 00:00:00",25142
"2015-11-21 00:00:00",26793
"2015-11-22 00:00:00",27000
"2015-11-23 00:00:00",27286
"2015-11-24 00:00:00",26861
"2015-11-25 00:00:00",26484
"2015-11-26 00:00:00",26548
"2015-11-27 00:00:00",27896
"2015-11-28 00:00:00",27223
"2015-11-29 00:00:00",27357
"2015-11-30 00:00:00",27377
"2015-12-01 00:00:00",27556
"2015-12-02 00:00:00",26018
"2015-12-03 00:00:00",28074
"2015-12-04 00:00:00",26692
"2015-12-05 00:00:00",26595
"2015-12-06 00:00:00",26273
"2015-12-07 00:00:00",26729
"2015-12-08 00:00:00",26322
"2015-12-09 00:00:00",28334
"2015-12-10 00:00:00",27489
"2015-12-11 00:00:00",27040
"2015-12-12 00:00:00",27230
"2015-12-13 00:00:00",27926
"2015-12-14 00:00:00",26783
"2015-12-15 00:00:00",27129
"2015-12-16 00:00:00",26502
"2015-12-17 00:00:00",26916
"2015-12-18 00:00:00",26704
"2015-12-19 00:00:00",26723
"2015-12-20 00:00:00",26471
"2015-12-21 00:00:00",26497
"2015-12-22 00:00:00",27434
"2015-12-23 00:00:00",27481
"2015-12-24 00:00:00",26732
"2015-12-25 00:00:00",26830
"2015-12-26 00:00:00",26591
"2015-12-27 00:00:00",26940
"2015-12-28 00:00:00",27094
"2015-12-29 00:00:00",26694
"2015-12-30 00:00:00",26812
"2015-12-31 00:00:00",26937
"2016-01-01 00:00:00",26082
"2016-01-02 00:00:00",27403
"2016-01-03 00:00:00",27695
"2016-01-04 00:00:00",27442
"2016-01-05 00:00:00",27900
"2016-01-06 00:00:00",27692
"2016-01-07 00:00:00",27088
"2016-01-08 00:00:00",28023
"2016-01-09 00:00:00",27635
"2016-01-10 00:00:00",27314
"2016-01-11 00:00:00",27031
"2016-01-12 00:00:00",25926
"2016-01-13 00:00:00",26596
"2016-01-14 00:00:00",26946
"2016-01-15 00:00:00",26821
"2016-01-16 00:00:00",26546
"2016-01-17 00:00:00",26617
"2016-01-18 00:00:00",26651
"2016-01-19 00:00:00",26128
"2016-01-20 00:00:00",26562
"2016-01-21 00:00:00",25940
"2016-01-22 00:00:00",26286
"2016-01-23 00:00:00",25787
"2016-01-24 00:00:00",27267
"2016-01-25 00:00:00",25737
"2016-01-26 00:00:00",27027
"2016-01-27 00:00:00",26158
"2016-01-28 00:00:00",26606
"2016-01-29 00:00:00",26198
"2016-01-30 00:00:00",26229
"2016-01-31 00:00:00",25716
"2016-02-01 00:00:00",26464
"2016-02-02 00:00:00",25898
"2016-02-03 00:00:00",27326
"2016-02-04 00:00:00",26595
"2016-02-05 00:00:00",26598
"2016-02-06 00:00:00",26587
"2016-02-07 00:00:00",26738
"2016-02-08 00:00:00",26693
"2016-02-09 00:00:00",26521
"2016-02-10 00:00:00",26220
"2016-02-11 00:00:00",26524
"2016-02-12 00:00:00",26535
"2016-02-13 00:00:00",26918
"2016-02-14 00:00:00",26357
"2016-02-15 00:00:00",26256
"2016-02-16 00:00:00",26479
"2016-02-17 00:00:00",25713
"2016-02-18 00:00:00",26244
"2016-02-19 00:00:00",26693
"2016-02-20 00:00:00",26588
"2016-02-21 00:00:00",26565
"2016-02-22 00:00:00",26790
"2016-02-23 00:00:00",26264
"2016-02-24 00:00:00",26479
"2016-02-25 00:00:00",26855
"2016-02-26 00:00:00",26705
"2016-02-27 00:00:00",26228
"2016-02-28 00:00:00",26451
"2016-02-29 00:00:00",25262
"2016-03-01 00:00:00",26515
"2016-03-02 00:00:00",26683
"2016-03-03 00:00:00",26147
"2016-03-04 00:00:00",25919
"2016-03-05 00:00:00",26616
"2016-03-06 00:00:00",25437
"2016-03-07 00:00:00",26016
"2016-03-08 00:00:00",25856
"2016-03-09 00:00:00",25769
"2016-03-10 00:00:00",26648
"2016-03-11 00:00:00",26322
"2016-03-12 00:00:00",26394
"2016-03-13 00:00:00",27276
"2016-03-14 00:00:00",26436
"2016-03-15 00:00:00",31248
"2016-03-16 00:00:00",31514
"2016-03-17 00:00:00",32056
"2016-03-18 00:00:00",31315
"2016-03-19 00:00:00",32123
"2016-03-20 00:00:00",31631
"2016-03-21 00:00:00",31415
"2016-03-22 00:00:00",31738
"2016-03-23 00:00:00",31327
"2016-03-24 00:00:00",32113
"2016-03-25 00:00:00",31930
"2016-03-26 00:00:00",31970
"2016-03-27 00:00:00",31650
"2016-03-28 00:00:00",31333
"2016-03-29 00:00:00",31462
"2016-03-30 00:00:00",31738
"2016-03-31 00:00:00",31414
"2016-04-01 00:00:00",31909
"2016-04-02 00:00:00",31099
"2016-04-03 00:00:00",31748
"2016-04-04 00:00:00",31978
"2016-04-05 00:00:00",31603
"2016-04-06 00:00:00",31284
"2016-04-07 00:00:00",31189
"2016-04-08 00:00:00",31940
"2016-04-09 00:00:00",30934
"2016-04-10 00:00:00",31801
"2016-04-11 00:00:00",30985
"2016-04-12 00:00:00",31406
"2016-04-13 00:00:00",31519
"2016-04-14 00:00:00",31433
"2016-04-15 00:00:00",31757
"2016-04-16 00:00:00",31548
"2016-04-17 00:00:00",31533
"2016-04-18 00:00:00",31880
"2016-04-19 00:00:00",31346
"2016-04-20 00:00:00",31855
"2016-04-21 00:00:00",31404
"2016-04-22 00:00:00",31597
"2016-04-23 00:00:00",31713
"2016-04-24 00:00:00",31517
"2016-04-25 00:00:00",32161
"2016-04-26 00:00:00",31309
"2016-04-27 00:00:00",31895
"2016-04-28 00:00:00",31705
"2016-04-29 00:00:00",31707
"2016-04-30 00:00:00",31924
