"DateTime","Total Supply [Ether]"
"2015-07-30 00:00:00",72049307
"2015-07-31 00:00:00",72085498
"2015-08-01 00:00:00",72113204
"2015-08-02 00:00:00",72141428
"2015-08-03 00:00:00",72169404
"2015-08-04 00:00:00",72197883
"2015-08-05 00:00:00",72225411
"2015-08-06 00:00:00",72252487
"2015-08-07 00:00:00",72279925
"2015-08-08 00:00:00",72307868
"2015-08-09 00:00:00",72335046
"2015-08-10 00:00:00",72362864
"2015-08-11 00:00:00",72390891
"2015-08-12 00:00:00",72418262
"2015-08-13 00:00:00",72446531
"2015-08-14 00:00:00",72477637
"2015-08-15 00:00:00",72506150
"2015-08-16 00:00:00",72533244
"2015-08-17 00:00:00",72561363
"2015-08-18 00:00:00",72587526
"2015-08-19 00:00:00",72614808
"2015-08-20 00:00:00",72635865
"2015-08-21 00:00:00",72662556
"2015-08-22 00:00:00",72690107
"2015-08-23 00:00:00",72716362
"2015-08-24 00:00:00",72743696
"2015-08-25 00:00:00",72770432
"2015-08-26 00:00:00",72796570
"2015-08-27 00:00:00",72821102
"2015-08-28 00:00:00",72845328
"2015-08-29 00:00:00",72867853
"2015-08-30 00:00:00",72889306
"2015-08-31 00:00:00",72910600
"2015-09-01 00:00:00",72930943
"2015-09-02 00:00:00",72949330
"2015-09-03 00:00:00",72966711
"2015-09-04 00:00:00",72989793
"2015-09-05 00:00:00",73015422
"2015-09-06 00:00:00",73041590
"2015-09-07 00:00:00",73067051
"2015-09-08 00:00:00",73092943
"2015-09-09 00:00:00",73119371
"2015-09-10 00:00:00",73145815
"2015-09-11 00:00:00",73173055
"2015-09-12 00:00:00",73199456
"2015-09-13 00:00:00",73225627
"2015-09-14 00:00:00",73251215
"2015-09-15 00:00:00",73276831
"2015-09-16 00:00:00",73303149
"2015-09-17 00:00:00",73328584
"2015-09-18 00:00:00",73354486
"2015-09-19 00:00:00",73381666
"2015-09-20 00:00:00",73409648
"2015-09-21 00:00:00",73436300
"2015-09-22 00:00:00",73462671
"2015-09-23 00:00:00",73489751
"2015-09-24 00:00:00",73516137
"2015-09-25 00:00:00",73543140
"2015-09-26 00:00:00",73569051
"2015-09-27 00:00:00",73594062
"2015-09-28 00:00:00",73618776
"2015-09-29 00:00:00",73643144
"2015-09-30 00:00:00",73668238
"2015-10-01 00:00:00",73695660
"2015-10-02 00:00:00",73722573
"2015-10-03 00:00:00",73749027
"2015-10-04 00:00:00",73774507
"2015-10-05 00:00:00",73800644
"2015-10-06 00:00:00",73825681
"2015-10-07 00:00:00",73851814
"2015-10-08 00:00:00",73878596
"2015-10-09 00:00:00",73904044
"2015-10-10 00:00:00",73929544
"2015-10-11 00:00:00",73956054
"2015-10-12 00:00:00",73982854
"2015-10-13 00:00:00",74009523
"2015-10-14 00:00:00",74035398
"2015-10-15 00:00:00",74061009
"2015-10-16 00:00:00",74086450
"2015-10-17 00:00:00",74112901
"2015-10-18 00:00:00",74138749
"2015-10-19 00:00:00",74164716
"2015-10-20 00:00:00",74190908
"2015-10-21 00:00:00",74216955
"2015-10-22 00:00:00",74242286
"2015-10-23 00:00:00",74269844
"2015-10-24 00:00:00",74296959
"2015-10-25 00:00:00",74323773
"2015-10-26 00:00:00",74349689
"2015-10-27 00:00:00",74377215
"2015-10-28 00:00:00",74403563
"2015-10-29 00:00:00",74431070
"2015-10-30 00:00:00",74458794
"2015-10-31 00:00:00",74486542
"2015-11-01 00:00:00",74514722
"2015-11-02 00:00:00",74541856
"2015-11-03 00:00:00",74569462
"2015-11-04 00:00:00",74597179
"2015-11-05 00:00:00",74624470
"2015-11-06 00:00:00",74651892
"2015-11-07 00:00:00",74678608
"2015-11-08 00:00:00",74705897
"2015-11-09 00:00:00",74732956
"2015-11-10 00:00:00",74760400
"2015-11-11 00:00:00",74788227
"2015-11-12 00:00:00",74816251
"2015-11-13 00:00:00",74844436
"2015-11-14 00:00:00",74872794
"2015-11-15 00:00:00",74900914
"2015-11-16 00:00:00",74928309
"2015-11-17 00:00:00",74956103
"2015-11-18 00:00:00",74983355
"2015-11-19 00:00:00",75009918
"2015-11-20 00:00:00",75035049
"2015-11-21 00:00:00",75061831
"2015-11-22 00:00:00",75088820
"2015-11-23 00:00:00",75116092
"2015-11-24 00:00:00",75142940
"2015-11-25 00:00:00",75169412
"2015-11-26 00:00:00",75195951
"2015-11-27 00:00:00",75223837
"2015-11-28 00:00:00",75251045
"2015-11-29 00:00:00",75278393
"2015-11-30 00:00:00",75305749
"2015-12-01 00:00:00",75333292
"2015-12-02 00:00:00",75359299
"2015-12-03 00:00:00",75387363
"2015-12-04 00:00:00",75414042
"2015-12-05 00:00:00",75440624
"2015-12-06 00:00:00",75466880
"2015-12-07 00:00:00",75493598
"2015-12-08 00:00:00",75519911
"2015-12-09 00:00:00",75548235
"2015-12-10 00:00:00",75575712
"2015-12-11 00:00:00",75602735
"2015-12-12 00:00:00",75629942
"2015-12-13 00:00:00",75657849
"2015-12-14 00:00:00",75684558
"2015-12-15 00:00:00",75711572
"2015-12-16 00:00:00",75738030
"2015-12-17 00:00:00",75764913
"2015-12-18 00:00:00",75791584
"2015-12-19 00:00:00",75818279
"2015-12-20 00:00:00",75844715
"2015-12-21 00:00:00",75871173
"2015-12-22 00:00:00",75898547
"2015-12-23 00:00:00",75925946
"2015-12-24 00:00:00",75952633
"2015-12-25 00:00:00",75979437
"2015-12-26 00:00:00",76005997
"2015-12-27 00:00:00",76032851
"2015-12-28 00:00:00",76059908
"2015-12-29 00:00:00",76086570
"2015-12-30 00:00:00",76113306
"2015-12-31 00:00:00",76140218
"2016-01-01 00:00:00",76166284
"2016-01-02 00:00:00",76193668
"2016-01-03 00:00:00",76221344
"2016-01-04 00:00:00",76248765
"2016-01-05 00:00:00",76276604
"2016-01-06 00:00:00",76304229
"2016-01-07 00:00:00",76331252
"2016-01-08 00:00:00",76359248
"2016-01-09 00:00:00",76386844
"2016-01-10 00:00:00",76414132
"2016-01-11 00:00:00",76441137
"2016-01-12 00:00:00",76467038
"2016-01-13 00:00:00",76493573
"2016-01-14 00:00:00",76520493
"2016-01-15 00:00:00",76547290
"2016-01-16 00:00:00",76573813
"2016-01-17 00:00:00",76600413
"2016-01-18 00:00:00",76627033
"2016-01-19 00:00:00",76653126
"2016-01-20 00:00:00",76679668
"2016-01-21 00:00:00",76705588
"2016-01-22 00:00:00",76731843
"2016-01-23 00:00:00",76757612
"2016-01-24 00:00:00",76784855
"2016-01-25 00:00:00",76810552
"2016-01-26 00:00:00",76837541
"2016-01-27 00:00:00",76863642
"2016-01-28 00:00:00",76890207
"2016-01-29 00:00:00",76916367
"2016-01-30 00:00:00",76942561
"2016-01-31 00:00:00",76968242
"2016-02-01 00:00:00",76994674
"2016-02-02 00:00:00",77020542
"2016-02-03 00:00:00",77047840
"2016-02-04 00:00:00",77074402
"2016-02-05 00:00:00",77100961
"2016-02-06 00:00:00",77127307
"2016-02-07 00:00:00",77153991
"2016-02-08 00:00:00",77180646
"2016-02-09 00:00:00",77207118
"2016-02-10 00:00:00",77233279
"2016-02-11 00:00:00",77259757
"2016-02-12 00:00:00",77286259
"2016-02-13 00:00:00",77313140
"2016-02-14 00:00:00",77339469
"2016-02-15 00:00:00",77365695
"2016-02-16 00:00:00",77392140
"2016-02-17 00:00:00",77417812
"2016-02-18 00:00:00",77444027
"2016-02-19 00:00:00",77470683
"2016-02-20 00:00:00",77497243
"2016-02-21 00:00:00",77523780
"2016-02-22 00:00:00",77550538
"2016-02-23 00:00:00",77576708
"2016-02-24 00:00:00",77603135
"2016-02-25 00:00:00",77629958
"2016-02-26 00:00:00",77656613
"2016-02-27 00:00:00",77682812
"2016-02-28 00:00:00",77709234
"2016-02-29 00:00:00",77734464
"2016-03-01 00:00:00",77760945
"2016-03-02 00:00:00",77787589
"2016-03-03 00:00:00",77813701
"2016-03-04 00:00:00",77839586
"2016-03-05 00:00:00",77866168
"2016-03-06 00:00:00",77891568
"2016-03-07 00:00:00",77917553
"2016-03-08 00:00:00",77943376
"2016-03-09 00:00:00",77969120
"2016-03-10 00:00:00",77995747
"2016-03-11 00:00:00",78022050
"2016-03-12 00:00:00",78048420
"2016-03-13 00:00:00",78075670
"2016-03-14 00:00:00",78102078
"2016-03-15 00:00:00",78133302
"2016-03-16 00:00:00",78164792
"2016-03-17 00:00:00",78196816
"2016-03-18 00:00:00",78228104
"2016-03-19 00:00:00",78260182
"2016-03-20 00:00:00",78291777
"2016-03-21 00:00:00",78323160
"2016-03-22 00:00:00",78354872
"2016-03-23 00:00:00",78386166
"2016-03-24 00:00:00",78418237
"2016-03-25 00:00:00",78450127
"2016-03-26 00:00:00",78482062
"2016-03-27 00:00:00",78513693
"2016-03-28 00:00:00",78545000
"2016-03-29 00:00:00",78576438
"2016-03-30 00:00:00",78608138
"2016-03-31 00:00:00",78639527
"2016-04-01 00:00:00",78671412
"2016-04-02 00:00:00",78702493
"2016-04-03 00:00:00",78734223
"2016-04-04 00:00:00",78766176
"2016-04-05 00:00:00",78797751
"2016-04-06 00:00:00",78829013
"2016-04-07 00:00:00",78860181
"2016-04-08 00:00:00",78892095
"2016-04-09 00:00:00",78923008
"2016-04-10 00:00:00",78954790
"2016-04-11 00:00:00",78985757
"2016-04-12 00:00:00",79017140
"2016-04-13 00:00:00",79048626
"2016-04-14 00:00:00",79080027
"2016-04-15 00:00:00",79111760
"2016-04-16 00:00:00",79143291
"2016-04-17 00:00:00",79174795
"2016-04-18 00:00:00",79206654
"2016-04-19 00:00:00",79237981
"2016-04-20 00:00:00",79269812
"2016-04-21 00:00:00",79301186
"2016-04-22 00:00:00",79332763
"2016-04-23 00:00:00",79364456
"2016-04-24 00:00:00",79395951
"2016-04-25 00:00:00",79428088
"2016-04-26 00:00:00",79459376
"2016-04-27 00:00:00",79491251
"2016-04-28 00:00:00",79522934
"2016-04-29 00:00:00",79554617
"2016-04-30 00:00:00",79586509
"2016-05-01 00:00:00",79617522
"2016-05-02 00:00:00",79649433
"2016-05-03 00:00:00",79681225
"2016-05-04 00:00:00",79712683
"2016-05-05 00:00:00",79744463
"2016-05-06 00:00:00",79776201
"2016-05-07 00:00:00",79807774
"2016-05-08 00:00:00",79839623
"2016-05-09 00:00:00",79871425
"2016-05-10 00:00:00",79903126
"2016-05-11 00:00:00",79934379
"2016-05-12 00:00:00",79966636
"2016-05-13 00:00:00",79998833
"2016-05-14 00:00:00",80030500
"2016-05-15 00:00:00",80062309
"2016-05-16 00:00:00",80093821
"2016-05-17 00:00:00",80126013
"2016-05-18 00:00:00",80158417
"2016-05-19 00:00:00",80190321
"2016-05-20 00:00:00",80222410
"2016-05-21 00:00:00",80254250
"2016-05-22 00:00:00",80286506
"2016-05-23 00:00:00",80318587
"2016-05-24 00:00:00",80350590
"2016-05-25 00:00:00",80382947
"2016-05-26 00:00:00",80414991
"2016-05-27 00:00:00",80447313
"2016-05-28 00:00:00",80479632
"2016-05-29 00:00:00",80511604
"2016-05-30 00:00:00",80543608
"2016-05-31 00:00:00",80575141
"2016-06-01 00:00:00",80607285
"2016-06-02 00:00:00",80639468
"2016-06-03 00:00:00",80671740
"2016-06-04 00:00:00",80703881
"2016-06-05 00:00:00",80735464
"2016-06-06 00:00:00",80767836
"2016-06-07 00:00:00",80799782
"2016-06-08 00:00:00",80832085
"2016-06-09 00:00:00",80864311
"2016-06-10 00:00:00",80895475
"2016-06-11 00:00:00",80927851
"2016-06-12 00:00:00",80960068
"2016-06-13 00:00:00",80992292
"2016-06-14 00:00:00",81024437
"2016-06-15 00:00:00",81056304
"2016-06-16 00:00:00",81088182
"2016-06-17 00:00:00",81121598
"2016-06-18 00:00:00",81155986
"2016-06-19 00:00:00",81189181
"2016-06-20 00:00:00",81220896
"2016-06-21 00:00:00",81252884
"2016-06-22 00:00:00",81285555
"2016-06-23 00:00:00",81317403
"2016-06-24 00:00:00",81349575
"2016-06-25 00:00:00",81381261
"2016-06-26 00:00:00",81413576
"2016-06-27 00:00:00",81445671
"2016-06-28 00:00:00",81477832
"2016-06-29 00:00:00",81509702
"2016-06-30 00:00:00",81541688
"2016-07-01 00:00:00",81574306
"2016-07-02 00:00:00",81606223
"2016-07-03 00:00:00",81638263
"2016-07-04 00:00:00",81670403
"2016-07-05 00:00:00",81701981
"2016-07-06 00:00:00",81734336
"2016-07-07 00:00:00",81766232
"2016-07-08 00:00:00",81798182
"2016-07-09 00:00:00",81830980
"2016-07-10 00:00:00",81862945
"2016-07-11 00:00:00",81894931
"2016-07-12 00:00:00",81926692
"2016-07-13 00:00:00",81958850
"2016-07-14 00:00:00",81990661
"2016-07-15 00:00:00",82022546
"2016-07-16 00:00:00",82054716
"2016-07-17 00:00:00",82086493
"2016-07-18 00:00:00",82118992
"2016-07-19 00:00:00",82150766
"2016-07-20 00:00:00",82182680
"2016-07-21 00:00:00",82215464
"2016-07-22 00:00:00",82247155
"2016-07-23 00:00:00",82279550
"2016-07-24 00:00:00",82311026
"2016-07-25 00:00:00",82343018
"2016-07-26 00:00:00",82373795
"2016-07-27 00:00:00",82406733
"2016-07-28 00:00:00",82439087
"2016-07-29 00:00:00",82471026
"2016-07-30 00:00:00",82502668
"2016-07-31 00:00:00",82534888
"2016-08-01 00:00:00",82566482
"2016-08-02 00:00:00",82597837
"2016-08-03 00:00:00",82629545
"2016-08-04 00:00:00",82662398
"2016-08-05 00:00:00",82694630
"2016-08-06 00:00:00",82726220
"2016-08-07 00:00:00",82758511
"2016-08-08 00:00:00",82790687
"2016-08-09 00:00:00",82823353
"2016-08-10 00:00:00",82855516
"2016-08-11 00:00:00",82887721
"2016-08-12 00:00:00",82919824
"2016-08-13 00:00:00",82951823
"2016-08-14 00:00:00",82983792
"2016-08-15 00:00:00",83016121
"2016-08-16 00:00:00",83048158
"2016-08-17 00:00:00",83080153
"2016-08-18 00:00:00",83112942
"2016-08-19 00:00:00",83144783
"2016-08-20 00:00:00",83177019
"2016-08-21 00:00:00",83209711
"2016-08-22 00:00:00",83242004
"2016-08-23 00:00:00",83274188
"2016-08-24 00:00:00",83306461
"2016-08-25 00:00:00",83338597
"2016-08-26 00:00:00",83370468
"2016-08-27 00:00:00",83402775
"2016-08-28 00:00:00",83434803
"2016-08-29 00:00:00",83466729
"2016-08-30 00:00:00",83498604
"2016-08-31 00:00:00",83530738
"2016-09-01 00:00:00",83562483
"2016-09-02 00:00:00",83594867
"2016-09-03 00:00:00",83626363
"2016-09-04 00:00:00",83658227
"2016-09-05 00:00:00",83690417
"2016-09-06 00:00:00",83722098
"2016-09-07 00:00:00",83754366
"2016-09-08 00:00:00",83786275
"2016-09-09 00:00:00",83818491
"2016-09-10 00:00:00",83850322
"2016-09-11 00:00:00",83882675
"2016-09-12 00:00:00",83914912
"2016-09-13 00:00:00",83946817
"2016-09-14 00:00:00",83979346
"2016-09-15 00:00:00",84011528
"2016-09-16 00:00:00",84043768
"2016-09-17 00:00:00",84075923
"2016-09-18 00:00:00",84105496
"2016-09-19 00:00:00",84139773
"2016-09-20 00:00:00",84172266
"2016-09-21 00:00:00",84204350
"2016-09-22 00:00:00",84235955
"2016-09-23 00:00:00",84270235
"2016-09-24 00:00:00",84303560
"2016-09-25 00:00:00",84337951
"2016-09-26 00:00:00",84370081
"2016-09-27 00:00:00",84405366
"2016-09-28 00:00:00",84437769
"2016-09-29 00:00:00",84470083
"2016-09-30 00:00:00",84501706
"2016-10-01 00:00:00",84536184
"2016-10-02 00:00:00",84571945
"2016-10-03 00:00:00",84605220
"2016-10-04 00:00:00",84637271
"2016-10-05 00:00:00",84670353
"2016-10-06 00:00:00",84703195
"2016-10-07 00:00:00",84739746
"2016-10-08 00:00:00",84775841
"2016-10-09 00:00:00",84809267
"2016-10-10 00:00:00",84842398
"2016-10-11 00:00:00",84874877
"2016-10-12 00:00:00",84907970
