	That doesn't let you collaboratively edit in real time.	VitalikButerin	10	3	1519099654	965800067490660352	https://twitter.com/VitalikButerin/status/965800067490660352			
	This is a great read! https:// twitter.com/blockchainRI/s tatus/964257595707002883 …	dtapscott	15	6	1519145389	965991896026898433	https://twitter.com/dtapscott/status/965991896026898433			
	Two Tapscotts in the Top 12? Not bad! https:// top.cointelegraph.com/?_ga=2.7576117 3.188324948.1518894288-683401928.1513465177 …	dtapscott	19	4	1519144749	965989209709346816	https://twitter.com/dtapscott/status/965989209709346816			
	Good to see @PMOIndia taking such interest in blockchain! https:// twitter.com/PMOIndia/statu s/965463114367033344 …	dtapscott	25	11	1519136938	965956449636634624	https://twitter.com/dtapscott/status/965956449636634624			@PMOIndia
bitcoin 	Venezuela will take #Bitcoin for Petro and BTC is trending higher; could be a 10-bagger from here. https:// twitter.com/ajenglish/stat us/965917793827938304 …	maxkeiser	134	114	1519163814	966069174702309381	https://twitter.com/maxkeiser/status/966069174702309381		#Bitcoin	
	Gun control is coming. My insurance idea at least gives Americans chance to own guns. The alternative is confiscation. https:// twitter.com/ap/status/9660 64286496886785 …	maxkeiser	41	17	1519162966	966065618960216066	https://twitter.com/maxkeiser/status/966065618960216066			
	Think of car insurance. Cost of accidents are spread. Why should communities have to be exposed to uninsured gun owners? It’s absurd.	maxkeiser	4	1	1519162852	966065137575657473	https://twitter.com/maxkeiser/status/966065137575657473			
	Copyright law puts a financial burden on right to free speech.	maxkeiser	3	0	1519162745	966064689468903426	https://twitter.com/maxkeiser/status/966064689468903426			
	Insurance scheme would pay for itself.	maxkeiser	3	1	1519162667	966064365337182208	https://twitter.com/maxkeiser/status/966064365337182208			
	Do you pay car insurance?	maxkeiser	0	0	1519162572	966063964055658496	https://twitter.com/maxkeiser/status/966063964055658496			
	Car insurance numbers would suggest otherwise.	maxkeiser	3	0	1519162528	966063780491866113	https://twitter.com/maxkeiser/status/966063780491866113			
	The same way it works with car insurance. It’s a numbers game. The goal is to reduce gun deaths.	maxkeiser	4	1	1519162488	966063614682648577	https://twitter.com/maxkeiser/status/966063614682648577			
	Too expensive.	maxkeiser	2	1	1519162406	966063270678450183	https://twitter.com/maxkeiser/status/966063270678450183			
	Still, a 90% reduction in gun deaths is better than nothing.	maxkeiser	4	1	1519162301	966062830020648960	https://twitter.com/maxkeiser/status/966062830020648960			
	(By the way, without the insurance industry there would be no significant private property).	maxkeiser	26	3	1519162229	966062527711989760	https://twitter.com/maxkeiser/status/966062527711989760			
	Gun owners have to buy insurance to offset costs of mass shootings, homicides, etc. Price goes up with heavier artillary. You can reduce cost if you get trained. This would probably reduce gun violence by 90% while still retain right to own guns under 2nd amend. #WinWin pic.twitter.com/iyGljVzSZW	maxkeiser	111	33	1519162076	966061884414791681	https://twitter.com/maxkeiser/status/966061884414791681		#WinWin	
	#Bitcon , the only non-correlated asset, in a world where every single asset class (except Gold) is trading at extreme overvaluatins. $28,000 in play.	maxkeiser	356	128	1519161410	966059091960516610	https://twitter.com/maxkeiser/status/966059091960516610		#Bitcon	
	This is what gun control looks like. 2018 is year US gun laws rewritten. In my view, (as a 2nd amend. supporter), the clear path forward is with gun insurance, similar to car insurance. https:// twitter.com/geraldposner/s tatus/966057054740910081 …	maxkeiser	22	14	1519161183	966058139589271557	https://twitter.com/maxkeiser/status/966058139589271557			
	Really curious to see how this develops...	maxkeiser	20	0	1519160822	966056623486709765	https://twitter.com/maxkeiser/status/966056623486709765			
	Disagree. The Petro is a cheap, turnkey solution to create billions of liquidity instantly, thus invalidating the SWIFT sanction. Whether it succeeds as a crypto as such is of secondary importance.	maxkeiser	38	24	1519160209	966054053754163200	https://twitter.com/maxkeiser/status/966054053754163200			
	If Petro works... US unable to apply sanctions anywhere.	maxkeiser	596	334	1519159886	966052699354685441	https://twitter.com/maxkeiser/status/966052699354685441			
bitcoin 	#Bitcoin at session highs as Dow sinks.	maxkeiser	91	18	1519159774	966052229714194432	https://twitter.com/maxkeiser/status/966052229714194432		#Bitcoin	
	Oh to be 3 yrs old again... pic.twitter.com/AKJlBwQTmp	maxkeiser	63	5	1519159734	966052062713843713	https://twitter.com/maxkeiser/status/966052062713843713			
bitcoin 	The petro — Venezuela's government-issued cryptocurrency — launches today http:// businessinsider.com/venezuela-cryp tocurrency-petro-launch-bitcoin-2018-2 … via @businessinsider	maxkeiser	109	99	1519158935	966048711368478720	https://twitter.com/maxkeiser/status/966048711368478720			@businessinsider
	BitCoiin2 competing with Petro in crypto space. Wow.	maxkeiser	56	30	1519158866	966048420921249794	https://twitter.com/maxkeiser/status/966048420921249794			
		maxkeiser	3	2	1519152251	966020676221046785	https://twitter.com/maxkeiser/status/966020676221046785			
	Can you come in @KeiserReport ? We just landed in NYC. @stacyherbert	maxkeiser	19	1	1519152051	966019836101918721	https://twitter.com/maxkeiser/status/966019836101918721			@KeiserReport @stacyherbert
	Peace has never been an option, so have competing coins for war and peace would be interesting.	maxkeiser	18	5	1519148721	966005871410065413	https://twitter.com/maxkeiser/status/966005871410065413			
	Instead of taxes, govts can launch ICO’s to cover various bundles of policy initiatives.	maxkeiser	174	58	1519147335	966000057333043200	https://twitter.com/maxkeiser/status/966000057333043200			
	Venezuela is just the first of a wave of many countries launching cryptos. The death knell for fiat money has sounded. pic.twitter.com/h9qCrsThqM	maxkeiser	182	95	1519145287	965991467310297089	https://twitter.com/maxkeiser/status/965991467310297089			
bitcoin 	Fantastic news: Global $ USD empire just got taken out back and shot. Extremely bullish for #Bitcoin and Gold | 82.4 Million Tokens: Venezuela Officially Launches ‘Petro’ Cryptocurrency Pre-Sale https://www. ccn.com/venezuela-offi cially-launches-petro-token-pre-sale/ …	maxkeiser	151	102	1519144522	965988259494072325	https://twitter.com/maxkeiser/status/965988259494072325		#Bitcoin	
bitcoin 	#Bitcoin bull resumes after pullback. New ATH a dead certainty. $28,000 in play.	maxkeiser	407	146	1519143857	965985467261911041	https://twitter.com/maxkeiser/status/965985467261911041		#Bitcoin	
	It’s propaganda - obviously - because they don’t have the same disclaimer under (state funded) @BBC . Sad that @Google can’t stop this from sullying their reputation.	maxkeiser	1	1	1519143513	965984024002023424	https://twitter.com/maxkeiser/status/965984024002023424			@BBC @Google
bitcoin 	True story: I’ve been begging @CNBCFastMoney ’s @jonnajarian (he’ll confirm) to buy #Bitcoin since it was under $100.	maxkeiser	52	8	1519142644	965980379156008960	https://twitter.com/maxkeiser/status/965980379156008960		#Bitcoin	@CNBCFastMoney @jonnajarian
	pic.twitter.com/DxgsWmNPEL	maxkeiser	52	0	1519142468	965979642980118528	https://twitter.com/maxkeiser/status/965979642980118528			
	More bigotry and xenophobia. This whole line by @nytimes smacks of Jim Crow era racism. Targeting and scapegoating Russians because Hillary’s an idiot is sad and unAmerican. https:// twitter.com/nytimes/status /964952645969567744 …	maxkeiser	58	28	1519140536	965971539899363328	https://twitter.com/maxkeiser/status/965971539899363328			@nytimes
	Give fetuses guns so they can shoot any attackers.	maxkeiser	32	6	1519139363	965966621243211779	https://twitter.com/maxkeiser/status/965966621243211779			
bitcoin 	The Meuller hoax is about censorship. I’m against censorship. #Bitcoin is uncensorable and so am I.	maxkeiser	118	29	1519138363	965962426167504901	https://twitter.com/maxkeiser/status/965962426167504901		#Bitcoin	
bitcoin 	#Bitcoin is uncensorable and so am I. pic.twitter.com/Gn4K3rIbRU	maxkeiser	78	30	1519137992	965960867820064768	https://twitter.com/maxkeiser/status/965960867820064768		#Bitcoin	
bitcoin 	Not really. I support free speech in journalism and currencies. #Bitcoin is uncensorable and so am I.	maxkeiser	2	2	1519137889	965960438339993607	https://twitter.com/maxkeiser/status/965960438339993607		#Bitcoin	
	pic.twitter.com/eKr4JvalqR	maxkeiser	9	1	1519137259	965957794909343744	https://twitter.com/maxkeiser/status/965957794909343744			
	Why push bigoted nonsense Bloomberg? The only basis you have for this fake headline is xenophobia toward Russians. You’re putting all journalists in a bad light. Please refrain.	maxkeiser	25	2	1519134640	965946809720983552	https://twitter.com/maxkeiser/status/965946809720983552			
	#RussiaGate Hoax in 1 tweet: Russians tweet about trending social media topics. Mueller’s investigation thinks this is worthy of indictments. The End. pic.twitter.com/lcf7HTb11Z	maxkeiser	43	26	1519133877	965943607906766849	https://twitter.com/maxkeiser/status/965943607906766849		#RussiaGate	
bitcoin 	Agreed. BitcoinCash hoax lulled people into thinking #Bitcoin wasn’t going to eat alt-coin’s lunch. Bitcoin dominance heading back to 80% + https:// twitter.com/realludvigart/ status/965751838405308417 …	maxkeiser	253	82	1519132944	965939694931468289	https://twitter.com/maxkeiser/status/965939694931468289		#Bitcoin	
bitcoin 	This suggests allegations of spamming the network by Bitcoin Cash crew were (are) true. Plagiarism and sabotage seem to be their vision (not Satoshi’s). https:// twitter.com/gigabitcoin/st atus/965935365214191617 …	maxkeiser	194	79	1519132204	965936593994440704	https://twitter.com/maxkeiser/status/965936593994440704			
	Michael Moore Participated In Russia-Sponsored Anti-Trump Rally http:// dailycaller.com/2018/02/19/mic hael-moore-russian-anti-trump-rally/?utm_source=site-share … via @dailycaller	maxkeiser	76	24	1519129461	965925089068896257	https://twitter.com/maxkeiser/status/965925089068896257			@dailycaller
	Loved this #BlackPanther review. Gotta get Tariq back on @KeiserReport . https:// twitter.com/tariqnasheed/s tatus/965269040481497088 …	maxkeiser	16	9	1519087277	965748153252302848	https://twitter.com/maxkeiser/status/965748153252302848		#BlackPanther	@KeiserReport
	You need to relearn your black history. You can start with this Paul Robeson testimony before House during McCarthy insanity. https:// youtu.be/kmFjjaFNHKo	maxkeiser	14	3	1519086243	965743819798056962	https://twitter.com/maxkeiser/status/965743819798056962			
	The Black Panthers need to up their Twitter game. #BlackIsBeutiful #BlackPower pic.twitter.com/u5Z4pIsHrm	maxkeiser	25	9	1519085179	965739357041840129	https://twitter.com/maxkeiser/status/965739357041840129		#BlackIsBeutiful #BlackPower	
	While America sinks deeper into a police state-like Sovietization, Russia continues plowing on toward free-market capitalism. Putin = Eisenhower.	maxkeiser	225	86	1519084066	965734685044301824	https://twitter.com/maxkeiser/status/965734685044301824			
	If the proposal gets the votes I’m in. As anyone who watches @GApilgrimage can see. I’m the star of that show... So getting rid of the other guy with a big LA billboard campaign will shoot DASH to $25 bn.	maxkeiser	3	2	1519083014	965730273303375872	https://twitter.com/maxkeiser/status/965730273303375872			@GApilgrimage
	Totally dank, bro. Do you smell me.	maxkeiser	2	0	1519082211	965726905759621120	https://twitter.com/maxkeiser/status/965726905759621120			
	I think it would get a very big reaction in the media, for sure. Imagine seeing these billboards in LA? pic.twitter.com/e3xuCWBQvZ	maxkeiser	3	0	1519081487	965723869238779904	https://twitter.com/maxkeiser/status/965723869238779904			
	Quelles sont les sociétés africaines les plus innovantes ? https://www. fastcompany.com/most-innovativ e-companies/2018/sectors/africa …	babgi	17	15	1519163614	966068335908720641	https://twitter.com/babgi/status/966068335908720641			
	Les salaires explosent dans le numérique. Il y a 6 ans, le @cnnum avait alerté sur la nécessité de démultiplier les formations dans ce domaine ; en vain. L'enseignement supérieur doit entamer sa mue au risque de rater cette révolution http:// abonnes.lemonde.fr/economie/artic le/2018/02/20/salaires-les-developpeurs-restent-les-rois-du-marche-de-l-emploi_5259687_3234.html …	babgi	105	112	1519149476	966009036369006594	https://twitter.com/babgi/status/966009036369006594			@cnnum
	Doubler le budget au numérique est louable ! Avoir cependant à l'esprit que probablement + de 1500 Mds $ d'argent fédéral US ont été investis en 25 ans (Al Gore=>). Rien que le F35, c'est 650Mds pour les équipements num https://www. lesechos.fr/tech-medias/hi ghtech/0301302797430-mariya-gabriel-il-faut-doubler-le-budget-europeen-du-numerique-2154857.php …	babgi	9	9	1519143625	965984494560923648	https://twitter.com/babgi/status/965984494560923648			
	"""La fusion Bayer-Monsanto ne doit pas se faire au détriment de l'agriculture numérique"" selon @vestager https://www. euractiv.com/section/agricu lture-food/news/vestager-bayer-monsanto-deal-must-preserve-digital-farming/ …"	babgi	8	7	1519134013	965944179477139456	https://twitter.com/babgi/status/965944179477139456			@vestager
	Three Customer Experience Lessons from Amazon http:// bit.ly/2olECav #banking #CX #martech #Sales #AmazonPrime #Amazon @avokatech @cxofficer @DeepLearn007 @ipfconline1 @pierrepinna @BrettKing @WFSULLIVAN3 @SpirosMargaris @TamaraMcCleary pic.twitter.com/56qo6qb2vu	JimMarous	111	87	1519146962	965998493524529153	https://twitter.com/JimMarous/status/965998493524529153		#banking #CX #martech #Sales #AmazonPrime #Amazon	@avokatech @cxofficer @DeepLearn007 @ipfconline1 @pierrepinna @BrettKing @WFSULLIVAN3 @SpirosMargaris @TamaraMcCleary
	Looking forward to discussing innovation at @Finovate Middle East in Dubai on February 26-27. Register today: http:// bit.ly/2nYKNST #fintech #banking #FinovateMiddleEast #innovation @devie_mohan @Temenos @fintechf @fintechna @KNect365 @InformaPLC @provokemgmt @BrettKing pic.twitter.com/rFYMcjN5yr	JimMarous	16	19	1519140900	965973066638557184	https://twitter.com/JimMarous/status/965973066638557184		#fintech #banking #FinovateMiddleEast #innovation	@Finovate @devie_mohan @Temenos @fintechf @fintechna @KNect365 @InformaPLC @provokemgmt @BrettKing
	Beware the Trojan Horse. Thanks for the share @dgwbirch . https:// twitter.com/dgwbirch/statu s/965870893787426816 …	JimMarous	6	13	1519140147	965969907564404736	https://twitter.com/JimMarous/status/965969907564404736			@dgwbirch
	As many know, you can miss that 'moment' if you are not aware. Thanks for the share @Socialfave and @TheMisterFavor . Remember, keep learning and transforming yourself to stay engaged. @DeepLearn007 @ipfconline1 @psb_dc @guzmand @leimer @Fisher85M @missmetaverse https:// twitter.com/Socialfave/sta tus/965695614527918080 …	JimMarous	46	41	1519139391	965966735412269056	https://twitter.com/JimMarous/status/965966735412269056			@Socialfave @TheMisterFavor @DeepLearn007 @ipfconline1 @psb_dc @guzmand @leimer @Fisher85M @missmetaverse
	Great share by @MikeQuindazzi from @PwC https:// twitter.com/MikeQuindazzi/ status/965949542096080898 …	JimMarous	2	10	1519138858	965964501563650055	https://twitter.com/JimMarous/status/965964501563650055			@MikeQuindazzi @PwC
	Old white men have had a chance to make a difference for long enough. It is time for a change ... a BIG change. Thanks @leimer for the share. https:// twitter.com/leimer/status/ 965953280034488320 …	JimMarous	8	7	1519138644	965963604720840704	https://twitter.com/JimMarous/status/965963604720840704			@leimer
	Excited to deliver Disruption in Financial Services keynote at the Middle East & Africa FinTech Forum in Bahrain on March 7-8. Register Today: http:// bit.ly/2o2Y8bJ #banking #fintech #MENA #disruption @MEAfintech @fintechna @fintechf @fintech_Innov @provokemgmt pic.twitter.com/3qHJlHmdEc	JimMarous	13	10	1519132311	965937039941259264	https://twitter.com/JimMarous/status/965937039941259264		#banking #fintech #MENA #disruption	@MEAfintech @fintechna @fintechf @fintech_Innov @provokemgmt
	I’m not trolling. Probably just more that I’m perplexed by the immense buying support in contrary to everything you mentioned...	VinnyLingham	4	0	1519160592	966055662143721472	https://twitter.com/VinnyLingham/status/966055662143721472			
bitcoin 	I would argue the market is highly correlated to security. If there was a security breach on Bitcoin today, the price would reflect it instantly. It happened before, it could happen again.	VinnyLingham	7	0	1519159717	966051991406329856	https://twitter.com/VinnyLingham/status/966051991406329856			
	Minimal risk for now. They have no incentive to break the system. Also, if they did, all the “honest” nodes would punish them, right? /s	VinnyLingham	6	0	1519159633	966051637537120256	https://twitter.com/VinnyLingham/status/966051637537120256			
	Yes, but price is how the market values and prices in the perceived security risks. Until proven otherwise, the market is correct.	VinnyLingham	2	1	1519159532	966051214252126208	https://twitter.com/VinnyLingham/status/966051214252126208			
bitcoin 	As much as I would agree in theory, in practice Bitcoin doesn’t look vulnerable at all, at least not in the near term.	VinnyLingham	7	1	1519159078	966049308507176960	https://twitter.com/VinnyLingham/status/966049308507176960			
	Lol	SatoshiLite	14	3	1519143653	965984612806619138	https://twitter.com/SatoshiLite/status/965984612806619138			
	Because it is in the ICO stage. Won't show the correct number until it has finished	officialmcafee	6	2	1519160532	966055408661139457	https://twitter.com/officialmcafee/status/966055408661139457			
	Absolutely	officialmcafee	4	0	1519160469	966055146072559619	https://twitter.com/officialmcafee/status/966055146072559619			
	Crossed	officialmcafee	5	1	1519160433	966054992984584192	https://twitter.com/officialmcafee/status/966054992984584192			
	Thanks	officialmcafee	4	0	1519160401	966054857785401344	https://twitter.com/officialmcafee/status/966054857785401344			
	:)	officialmcafee	1	0	1519160313	966054489072586752	https://twitter.com/officialmcafee/status/966054489072586752			
	OK	officialmcafee	2	0	1519160296	966054419958763520	https://twitter.com/officialmcafee/status/966054419958763520			
	Welcome	officialmcafee	5	1	1519160254	966054244372680705	https://twitter.com/officialmcafee/status/966054244372680705			
	Will do	officialmcafee	6	0	1519160236	966054166576672768	https://twitter.com/officialmcafee/status/966054166576672768			
	Coin of the month coming soon	officialmcafee	10	2	1519160020	966053261475229696	https://twitter.com/officialmcafee/status/966053261475229696			
	Welcome	officialmcafee	6	0	1519159976	966053074803609601	https://twitter.com/officialmcafee/status/966053074803609601			
	Absolutely! Scheduled for mid August	officialmcafee	12	0	1519159957	966052997691248640	https://twitter.com/officialmcafee/status/966052997691248640			
	:)	officialmcafee	2	0	1519159900	966052758834024448	https://twitter.com/officialmcafee/status/966052758834024448			
	Yes	officialmcafee	2	0	1519159889	966052710536634373	https://twitter.com/officialmcafee/status/966052710536634373			
	Knowledge has announced a partnership with Coinomi, and Coinomi CEO George Kimionis will join the knowledge Strategic Advisory Board. The future of Knowledge continues to look bright and I strongly recommend participation in their ICO. http:// KNOWLEDGE.IO pic.twitter.com/ydFujRLzUv	officialmcafee	543	182	1519159810	966052380797296640	https://twitter.com/officialmcafee/status/966052380797296640			
	Ok	officialmcafee	2	0	1519145509	965992398613569537	https://twitter.com/officialmcafee/status/965992398613569537			
	Soon	officialmcafee	4	3	1519145497	965992345798959105	https://twitter.com/officialmcafee/status/965992345798959105			
	Done	officialmcafee	5	0	1519145485	965992298701099009	https://twitter.com/officialmcafee/status/965992298701099009			
	Thanks	officialmcafee	4	0	1519145469	965992230212251649	https://twitter.com/officialmcafee/status/965992230212251649			
	Good	officialmcafee	4	0	1519145449	965992146019995650	https://twitter.com/officialmcafee/status/965992146019995650			
	Done	officialmcafee	4	0	1519145438	965992100776108032	https://twitter.com/officialmcafee/status/965992100776108032			
	:)	officialmcafee	2	0	1519145379	965991850791366657	https://twitter.com/officialmcafee/status/965991850791366657			
	True	officialmcafee	5	0	1519144866	965989699738316800	https://twitter.com/officialmcafee/status/965989699738316800			
	:)	officialmcafee	1	0	1519144817	965989495987408896	https://twitter.com/officialmcafee/status/965989495987408896			
	Done	officialmcafee	4	0	1519144802	965989432812822529	https://twitter.com/officialmcafee/status/965989432812822529			
	Done	officialmcafee	3	0	1519144788	965989371450142721	https://twitter.com/officialmcafee/status/965989371450142721			
	Mine and @noBScrypto 's trading group just passed 10k members! The algorithmic spreadsheet is getting great feedback & our picks have even beaten BTC's bullish growth these last 2 weeks. Join us for trading strategy, ICO discussions & all things crypto: http:// bit.ly/noBSc	officialmcafee	372	99	1519144706	965989027848577024	https://twitter.com/officialmcafee/status/965989027848577024			@noBScrypto
	Don't believe everything you hear, watch and read	officialmcafee	2	0	1519143671	965984688081956864	https://twitter.com/officialmcafee/status/965984688081956864			
