currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vad_sent	vad_pol	cnn_sent	cnn_pol
bitcoin 	More HitBtchttps://bitcoinexchangeguide.com/john-mcafee-says-boycott-hitbtc-crypto-exchanges-called-into-question/ …	officialmcafee	510	109	1530281487	1012700073149337602	https://twitter.com/officialmcafee/status/1012700073149337602				0	0	0	0.97210217	-1.0
bitcoin 	'Should we be worried about what institutional money thinks of privacy improvements to Bitcoin?'https://youtu.be/3Ck683CQGAQ?t=14m41s …	aantonop	283	106	1530303316	1012791631081287680	https://twitter.com/aantonop/status/1012791631081287680				1	0.01	1	0.9825796	1.0
bitcoin 	WSJ article on SALT Lending (get fiat loans backed by Bitcoin) https://www.wsj.com/articles/this-company-helps-bitcoin-millionaires-unleash-their-fortunes-1530187201 … @ SaltLending	ErikVoorhees	303	113	1530239461	1012523802855538689	https://twitter.com/ErikVoorhees/status/1012523802855538689			@	1	0.03	1	0.9734884	-1.0
ripple 	So here I am meeting the head of product at Ripple. I said, I have an open mind and if I was wrong I will eat my words! # Ripple # XRPpic.twitter.com/59igpAFJVo	cryptomanran	655	87	1530227776	1012474793654751233	https://twitter.com/cryptomanran/status/1012474793654751233		# #		0	0.18	-1	0.98035353	-1.0
ripple 	Ripple controls their XRP just as I control mine.	haydentiff	0	0	1530296533	1012763180832116736	https://twitter.com/haydentiff/status/1012763180832116736				0	0	0	0.966613	1.0
ripple 	You’ve falsely asserted that XRP can be frozen HUNDREDS of times. I ran a search and I don’t have all day to count how many times you’ve spread this lie. It’s like your entire account exists to spread lies about @ Ripple and XRP. Consequences are a bitch.https://twitter.com/haydentiff/status/1012747120208695296?s=21 …	haydentiff	18	2	1530294338	1012753977602166784	https://twitter.com/haydentiff/status/1012753977602166784			@	-1	0.13	-1	0.9925418	1.0
ripple 	@ tomchannick, this @ DigiByte_News account has hundreds of malicious tweets targeting Ripple and XRP. Libel is against Twitter's TOS. https://twitter.com/DigiByte_News/status/1012437503628992512 … https://twitter.com/DigiByte_News/status/1011211917485068288 … https://twitter.com/DigiByte_News/status/1012450528993955840 … https://twitter.com/DigiByte_News/status/1007003278444564480 … https://twitter.com/DigiByte_News/status/1001859030938251264 …https://twitter.com/DigiByte_News/status/1006618335616884737 …	haydentiff	22	3	1530293834	1012751862813134848	https://twitter.com/haydentiff/status/1012751862813134848			@ @	0	0	0	0.97994643	1.0
ripple 	I just showed you the disclaimer. I even underlined it in red for you. NOBODY CAN FREEZE $ XRP. The source code for the XRPL is open. Please point to the code that allows freezing of XRP. When you can't find it, retract your statement immediately. # libelhttps://github.com/ripple/rippled	haydentiff	92	26	1530292704	1012747120208695296	https://twitter.com/haydentiff/status/1012747120208695296		#		-1	0.04	1	0.9896199	1.0
bitcoin 	Just like Coinbase and Bitcoin are interchangeable? Sorry. I can read.	haydentiff	1	0	1530291902	1012743759803637760	https://twitter.com/haydentiff/status/1012743759803637760				1	0.09	1	0.97188276	1.0
ripple 	Which part confuses you? https://developers.ripple.com/freezes.html  (I feel like we’ve had this conversation before. If so, our next one will be about libel, your Twitter account, and Twitter’s TOS.)pic.twitter.com/OmPmxE4jTv	haydentiff	11	0	1530291537	1012742225816584192	https://twitter.com/haydentiff/status/1012742225816584192				0	0.01	1	0.98769605	-1.0
ripple 	Investors are those who own stock in the company. Speculators are those who purchased XRP. And they didn’t purchase that XRP from Ripple. Ripple doesn’t sell XRP to the general public.	haydentiff	1	0	1530290735	1012738862974734337	https://twitter.com/haydentiff/status/1012738862974734337				-1	0	0	0.9807597	1.0
ripple 	I have been a holder of XRP since 2013 and very active within the community. Ripple has always been a separate, trademarked company. They are holders of XRP. They are not the creators.	haydentiff	0	0	1530290609	1012738336837046278	https://twitter.com/haydentiff/status/1012738336837046278				0	0.11	1	0.9812816	1.0
ripple 	Like other crypto, $ XRP is just a tool. It doesn’t do anything on its own. Its use cases are only limited by our imagination/ability. Let me know if this helps:https://tiffanyhayden.blog/2018/06/06/what-is-ripple/ …	haydentiff	1	1	1530290170	1012736492668678149	https://twitter.com/haydentiff/status/1012736492668678149				1	0.15	1	0.9796963	-1.0
ripple 	Regardless, @ Ripple is a trademarked company and $ XRP is an untrademarked digital asset. It’s not up for debate.	haydentiff	1	0	1530287948	1012727172564488193	https://twitter.com/haydentiff/status/1012727172564488193			@	0	0.18	1	0.9689947	-1.0
ripple 	FYI: @ Ripple is a private company headquartered in San Francisco. $ XRP is a digital asset.pic.twitter.com/SXa8Fl7mGN	haydentiff	87	17	1530284677	1012713454514397185	https://twitter.com/haydentiff/status/1012713454514397185			@	0	0.18	1	0.9761313	1.0
ripple 	@ Ripple is a private company. $ XRP is a digital asset. Ripple is a holder of XRP, but they were not the creators.https://tiffanyhayden.blog/2018/06/06/what-is-ripple/ …	haydentiff	1	0	1530264080	1012627066032934913	https://twitter.com/haydentiff/status/1012627066032934913			@	0	0.09	1	0.98172665	-1.0
ripple 	Ripple is a private company.	haydentiff	0	0	1530263899	1012626305458868224	https://twitter.com/haydentiff/status/1012626305458868224				0	0	0	0.9788407	-1.0
bitcoin 	Fwiw, I was at a niche crypto workshop in 2015 and somebody from the Fed was there. He came up and shook my hand because he recognized me from Twitter. He and the person he was there with were asking questions 10 steps ahead of everyone else. # Bitcoinhttps://twitter.com/fintechfrank/status/1012511347840618496 …	haydentiff	40	12	1530253176	1012581330146742272	https://twitter.com/haydentiff/status/1012581330146742272		#		1	0.11	1	0.9895076	-1.0
bitcoin ripple 	Like when somebody tells me that Satoshi would be ashamed of my support for XRP and then I tell them that Satoshi created Bitcoin to fund Ripple, causing the other person’s head to explode. # shitposting	haydentiff	21	6	1530246779	1012554497489502214	https://twitter.com/haydentiff/status/1012554497489502214		#		1	0.24	1	0.98928297	1.0
ripple 	Sorry for the delay! https://developers.ripple.com/install-rippled.html …https://twitter.com/WietseWind/status/961631254746722304 …	haydentiff	0	0	1530244082	1012543186923933696	https://twitter.com/haydentiff/status/1012543186923933696				-1	0.22	-1	0.970595	1.0
bitcoin 	Love the shirt! Thank you, @ cryptograffiti! https://cryptograffiti.com # Bitcoin # BitcoinCash $ XRP # cryptopic.twitter.com/Gy7g43xpxM	haydentiff	315	18	1530227346	1012472990548807685	https://twitter.com/haydentiff/status/1012472990548807685		# # #	@	1	0.36	1	0.9770989	-1.0
bitcoin 	Authorities seize $5.2 million in cryptocurrency following Europe's largest LSD bust http://fortune.com/2018/06/28/cryptocurrency-bitcoin-lsd-bust-europe/?utm_source=twitter.com&utm_medium=social&utm_campaign=social-button-sharing … via @ FortuneMagazine	thomaspower	2	1	1530273354	1012665960463990789	https://twitter.com/thomaspower/status/1012665960463990789			@	1	0	0	0.9821306	1.0
bitcoin ethereum 	NBA Team Mines Ethereum https://news.bitcoin.com/nba-team-mines-ethereum/ … via @ BTCTN	thomaspower	3	0	1530258427	1012603354348912642	https://twitter.com/thomaspower/status/1012603354348912642			@	1	0	0	0.97085965	-1.0
bitcoin 	Japanese Economist Explains Why Another Bitcoin Price Surge Is Unlikely https://news.bitcoin.com/japanese-economist-explains-why-another-bitcoin-price-surge-is-unlikely/ … via @ BTCTN	thomaspower	2	1	1530253593	1012583080756903937	https://twitter.com/thomaspower/status/1012583080756903937			@	1	0	0	0.9655206	-1.0
bitcoin 	Change PoW all you like. The outcome will always be the same: - botnet mining, alongside terrible news coverage that Bitcoin does not need - GPU mining, GPU shortage - rise of new ASIC overlords Rinse, repeat. What you want is a change of protocol.https://twitter.com/CobraBitcoin/status/1011931762690347008 …	el33th4xor	176	40	1530282795	1012705561161302017	https://twitter.com/el33th4xor/status/1012705561161302017				1	0.05	-1	0.9920936	-1.0
bitcoin 	Great episode of Unconfirmed out today with @ KyleSamani of @ multicoincap! We discuss Zcon0, massively scalable, private by default blockchains, EOS and governance, and the ways VC firms are investing in crypto.https://itunes.apple.com/us/podcast/multicoins-kyle-samani-on-why-he-believes-bitcoin-governance/id1347049808?i=1000414890120&mt=2 …	laurashin	84	28	1530284576	1012713032349245440	https://twitter.com/laurashin/status/1012713032349245440			@ @	1	0.20	1	0.97768456	1.0
bitcoin ripple 	Bitcoin Price Won’t Link With XRP Price, Says Ripple CEO Garlinghouse https://cryptocoin.news/cryptocurrency/bitcoin-price-wont-link-with-xrp-price-ripple-ceo-garlinghouse-16559/ … via @ TodayCrypto	SimonCocking	2	0	1530263065	1012622806587146241	https://twitter.com/SimonCocking/status/1012622806587146241			@	1	0	0	0.962387	1.0
