currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
bitcoin ethereum 	I wrote hundreds of articles for bitcoin magazine for far below minimum wage, if not free, before starting ethereum. So if you want to talk about my own experience as an example, IMO it perfectly confirms that shooting for social capital is a totally fine incentive.	VitalikButerin	85	6	1529059668	1007575392645890048	https://twitter.com/VitalikButerin/status/1007575392645890048				0.15	0.2307	0
	"""I don’t like that it hints towards that [liberal] approach, as I think cryptocurrencies are economically extremely dangerous"" Cryptocurrency control doesn't control cryptocurrencies, it controls law-abiding citizens."	VitalikButerin	173	27	1529038114	1007484989137551360	https://twitter.com/VitalikButerin/status/1007484989137551360				0.11	-0.2247	0
bitcoin 	https://www.crowdfundinsider.com/2018/04/132354-max-keiser-and-stacy-herbert-espouse-the-global-urgency-of-bitcoin/ …	maxkeiser	58	25	1529082127	1007669592892887040	https://twitter.com/maxkeiser/status/1007669592892887040				0.00	0.0	0
ethereum 	Rachel Maddow: “SEC’s decision on Ethereum proves Russia’s intent to destabilize the American economy”.pic.twitter.com/EdsZVqcPra	maxkeiser	108	36	1529052429	1007545033506148352	https://twitter.com/maxkeiser/status/1007545033506148352				-0.21	0.0	0
litecoin 	We've turned off alerts for Litecoin also.	SatoshiLite	16	1	1529032790	1007462659749498880	https://twitter.com/SatoshiLite/status/1007462659749498880				0.14	0.0	0
litecoin 	I still remember when someone replayed the Litecoin alert to the Feathercoin network. Every Feathercoin user was asked to upgrade to the latest Litecoin client.	SatoshiLite	67	9	1529026652	1007436915920916480	https://twitter.com/SatoshiLite/status/1007436915920916480				0.04	0.148	0
bitcoin 	https://ambcrypto.com/icymi-john-mcafee-talks-about-bitcoin-btc-price-manipulation/amp/?__twitter_impression=true …	officialmcafee	197	61	1529085196	1007682465639563264	https://twitter.com/officialmcafee/status/1007682465639563264				0.00	0.0	0
bitcoin 	There you have it. We win in any case. If Bitcoin is not at $1 mil by Dec 31, 2020, I will eat my dick.	officialmcafee	158	33	1529083579	1007675683190071296	https://twitter.com/officialmcafee/status/1007675683190071296				0.16	0.0251	0
bitcoin 	You're on the wrong page. My followers are not concerned with markets or price. They KNOW Bitcoin will win. I know it, in my very bones. If you do not, then no facts can help you. In any case, you'll get none from me. Facts cannot help you in this question. Know or don't know.	officialmcafee	36	5	1529083237	1007674251028164608	https://twitter.com/officialmcafee/status/1007674251028164608				0.09	0.0445	0
bitcoin 	Yes. But it will stop. It is never a bad time to buy Bitcoin, irrespective of the price. You cannot lose, year over year.	officialmcafee	26	2	1529082720	1007672082321367040	https://twitter.com/officialmcafee/status/1007672082321367040				-0.04	0.1801	0
bitcoin 	Bitcoin manipulation: the co-coordinated conspiracy was to attempt to crash BTC. It has not worked. It will not work. The rubber band is about to snap back.https://globalcoinreport.com/bitcoin-btc-manipulation-did-happen-but-to-push-btc-to-current-low-levels-says-john-mcafee/ …	officialmcafee	2219	838	1529080674	1007663500108451841	https://twitter.com/officialmcafee/status/1007663500108451841				0.11	-0.1615	0
	"Great article in Docademic today. It is clearly the next ""thing"" in crypto:https://ambcrypto.com/john-mcafee-docademic-mtc-look-in-the-trash-for-the-diamonds-and-pick-em-up/amp/?__twitter_impression=true …"	officialmcafee	346	99	1529065967	1007601814366277632	https://twitter.com/officialmcafee/status/1007601814366277632				0.62	0.5134	0
	"It requires imagination: a world where everyone has the red button app - “I have nothing left. I'm jumping"". A caring face with kind eyes appears. “step off the bridge son. Let's talk.” . July 23rd. It is coming. Docademic’s (MTC) new app. Moving to the very soul of crypto."	officialmcafee	421	96	1529023125	1007422122514440193	https://twitter.com/officialmcafee/status/1007422122514440193				0.20	0.085	0
bitcoin 	“The question isn't who is going to let me; it's who is going to stop me.” # BitcoinCash	rogerkver	796	200	1529069487	1007616580224552960	https://twitter.com/rogerkver/status/1007616580224552960		#		0.44	-0.296	0
