currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent	cnn_pos_neg
bitcoin 	Bitcoin also has an economic attack surface which is as yet, untested. What happens in a world where miners have alternatives and the Bitcoin price drops below marginal cost of production. Maybe we’ll find out, maybe we won’t...https://twitter.com/kylesamani/status/1006366936530391041 …	VinnyLingham	54	13	1528771674	1006367461040578560	https://twitter.com/VinnyLingham/status/1006367461040578560				0.16	-0.1589	0.9734537	1.0
bitcoin 	Doesn’t matter. You can’t kill Bitcoin.	VinnyLingham	9	2	1528760239	1006319496926150656	https://twitter.com/VinnyLingham/status/1006319496926150656				-0.17	-0.3325	0.9507748	1.0
bitcoin 	If Bitcoin dies, I guarantee it will be reincarnated https://twitter.com/wadhwa/status/1006163958170963968 …	VinnyLingham	179	33	1528760113	1006318967546249216	https://twitter.com/VinnyLingham/status/1006318967546249216				0.30	0.25	0.9729441	-1.0
bitcoin 	https://globalcoinreport.com/do-not-panic-about-bitcoins-btc-drop-advises-john-mcafee/ …	officialmcafee	351	112	1528818385	1006563382051385344	https://twitter.com/officialmcafee/status/1006563382051385344				0.00	0.0	0.97333604	-1.0
bitcoin 	3/ Given that as a student money was always tight, presentation-in- exchange-for-ticket became my go to strategy. Eventually I just did it for the fun of it, that's how I ended up presenting at the 2013 Bitcoin conference in San Jose.	TuurDemeester	58	3	1528821910	1006578164473192455	https://twitter.com/TuurDemeester/status/1006578164473192455				0.02	0.2553	0.9377497	-1.0
bitcoin 	This article is 3 years old, afaik this problem has since been addressed and the author was hired by @ satoshilabs. “Ethical Hacker and Bitcoin Hero Johoe Joins SatoshiLabs as TREZOR Cryptographer”https://blog.trezor.io/ethical-hacker-and-bitcoin-hero-johoe-joins-satoshilabs-as-trezor-cryptographer-36c9a6b10d52 …	TuurDemeester	23	0	1528812496	1006538679576342536	https://twitter.com/TuurDemeester/status/1006538679576342536			@	0.28	0.0382	0.97266686	1.0
bitcoin 	"""Adding a 1% Bitcoin allocation to the Global 60/40 increased the hypothetical simulated cumulative return by 293 bps, without materially increasing volatility to improve risk-adjusted returns by 18%."" (HT @ barrysilbert) https://grayscale.co/a-new-frontier-research-paper/ …pic.twitter.com/RrxPy3QGRj"	TuurDemeester	255	101	1528811829	1006535882923479040	https://twitter.com/TuurDemeester/status/1006535882923479040			@	-0.19	0.3062	0.97599524	-1.0
bitcoin 	There is no way to censor, stop, or freeze XRP transactions. If you leave your XRP or Bitcoin or any other crypto on an exchange, you are at their mercy because they have your crypto and all you have is an iou.	haydentiff	0	0	1528836165	1006637956772368385	https://twitter.com/haydentiff/status/1006637956772368385				0.17	-0.1381	0.9773079	-1.0
bitcoin 	Every company is free to fork Bitcoin or any other open source project. You don’t have to like it.	haydentiff	0	0	1528828684	1006606577208647684	https://twitter.com/haydentiff/status/1006606577208647684				0.05	0.4359	0.9717416	1.0
bitcoin 	Yes, Bitcoin can be forked many many times.	haydentiff	50	0	1528825690	1006594019688894464	https://twitter.com/haydentiff/status/1006594019688894464				0.38	0.4019	0.9701452	-1.0
