bitcoin 	Internet archive continues to accept and expand accepting crypto for donations (now it's taking BTC, BCH, ZEC, ETH). Donation link here: https:// archive.org/donate/bitcoin .php … https:// twitter.com/internetarchiv e/status/959640651024314368 …	VitalikButerin	1804	542	2018-02-06 08:26:06	960776599795879936	https://twitter.com/VitalikButerin/status/960776599795879936			
	Boy, that’s a refreshing approach! https:// twitter.com/coincenter/sta tus/960960384030199810 …	dtapscott	116	28	2018-02-06 21:40:44	960976576392388614	https://twitter.com/dtapscott/status/960976576392388614			
	Looking forward to working with @sweetbridgeinc . https:// twitter.com/sweetbridgeinc /status/960918351324286976 …	dtapscott	22	5	2018-02-06 17:59:16	960920843374223362	https://twitter.com/dtapscott/status/960920843374223362			@sweetbridgeinc
	It's true, I do! Sweetbridge is a really fascinating project I've been following for some time now. https:// twitter.com/AaronWStanley/ status/960777873547321344 …	dtapscott	21	10	2018-02-06 15:23:12	960881565130805248	https://twitter.com/dtapscott/status/960881565130805248			
	Incredibly talented crypto folks at #SatoshiRoundtable @hartej_ pic.twitter.com/EAO2dy2Ezo	maxkeiser	77	10	2018-02-06 22:06:58	960983177136394247	https://twitter.com/maxkeiser/status/960983177136394247		#SatoshiRoundtable	@hartej_
bitcoin 	#Bitcoin . Any questions? pic.twitter.com/nbThkypVxR	maxkeiser	905	471	2018-02-06 20:57:40	960965738038267909	https://twitter.com/maxkeiser/status/960965738038267909		#Bitcoin	
	Yes. It was putrid.	maxkeiser	1	0	2018-02-06 20:33:09	960959567306862594	https://twitter.com/maxkeiser/status/960959567306862594			
	I’m donating Plucky. pic.twitter.com/CkODn3ch2D	maxkeiser	13	2	2018-02-06 19:51:29	960949083526565889	https://twitter.com/maxkeiser/status/960949083526565889			
bitcoin 	Bitcoin is Dead! Again? https:// sputniknews.com/radio_double_d own/201802061061395539-bitcoin-is-dead-again/ … via @SputnikInt	maxkeiser	117	53	2018-02-06 19:08:11	960938186032734208	https://twitter.com/maxkeiser/status/960938186032734208			@SputnikInt
	I had a chance to catch up with the @Bancor team at Satoshi. #Inspiring . I’m diving back into the White Paper and will post some comments soon.	maxkeiser	102	15	2018-02-06 17:38:20	960915575450030082	https://twitter.com/maxkeiser/status/960915575450030082		#Inspiring	@Bancor
bitcoin 	The hard #Bitcoin floor is $4,000 - the price where many marginal miners drop out. The risk/reward - at current prices - is good.	maxkeiser	397	138	2018-02-06 17:35:27	960914848853954561	https://twitter.com/maxkeiser/status/960914848853954561		#Bitcoin	
bitcoin 	Listen to @RichardHeartWin talk about #Bitcoin action.	maxkeiser	16	2	2018-02-06 16:21:28	960896231429083137	https://twitter.com/maxkeiser/status/960896231429083137		#Bitcoin	@RichardHeartWin
	Ce sont les plus les facteurs culturels que la technologie qui accroissent la productivité, selon @microsoft https://www. seattletimes.com/business/barra ge-of-emails-tweets-slack-messages-can-lower-productivity-microsoft-survey-finds/ …	babgi	7	10	2018-02-06 16:16:34	960894997133479936	https://twitter.com/babgi/status/960894997133479936			@microsoft
	Competitive Survival in Banking Hinges on Artificial Intelligence http:// bit.ly/2hOxBMe #banking #AI #MachineLearning #DeepLearning #BigData #tech @leimer @AntonioSelas @BourseetTrading @cgledhill @FinancialBrand pic.twitter.com/37yaSQrldk	JimMarous	11	14	2018-02-06 23:25:00	961002815685582848	https://twitter.com/JimMarous/status/961002815685582848		#banking #AI #MachineLearning #DeepLearning #BigData #tech	@leimer @AntonioSelas @BourseetTrading @cgledhill @FinancialBrand
	How Financial Institutions Are Turning AI Into ROI http:// bit.ly/2ylbI1c #banking #AI #MachineLearning #BigData #roboadvisor #cybersecurity @StrategyFintech @ipfconline1 @FinancialBrand @BAI_Info pic.twitter.com/Xh8WewRUJ9	JimMarous	7	10	2018-02-06 23:02:00	960997028355559424	https://twitter.com/JimMarous/status/960997028355559424		#banking #AI #MachineLearning #BigData #roboadvisor #cybersecurity	@StrategyFintech @ipfconline1 @FinancialBrand @BAI_Info
	Big Data in Banking Set to Explode http:// bit.ly/2jVLU4p #bigdata #banking #AI #Machinelearning #CRM #fintech #Analytics @FinancialBrand pic.twitter.com/hUOOVXmqgT	JimMarous	12	9	2018-02-06 22:23:00	960987212962770946	https://twitter.com/JimMarous/status/960987212962770946		#bigdata #banking #AI #Machinelearning #CRM #fintech #Analytics	@FinancialBrand
	Top 10 Retail Banking Trends and Predictions http:// bit.ly/2jdjelQ #banking #fintech #CX #bigdata #AI #MachineLearning #blockchain #payments #regtech pic.twitter.com/TkxlUdLXXq	JimMarous	2	14	2018-02-06 22:09:00	960983689852325888	https://twitter.com/JimMarous/status/960983689852325888		#banking #fintech #CX #bigdata #AI #MachineLearning #blockchain #payments #regtech	
