currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
bitcoin 	Hm, good to see Jamie Dimon has come around! https://www. cnbc.com/2018/01/09/jam ie-dimon-says-he-regrets-calling-bitcoin-a-fraud.html?__source=sharebar|twitter&par=sharebar …	dtapscott	63	23	2018-01-09 17:17:07	950763375780352000	https://twitter.com/dtapscott/status/950763375780352000				0.38	0.2463	0
bitcoin 	Happy Birthday Bitcoin, and Don’t Forget About Cypherpunks - Keiser https:// cointelegraph.com/news/happy-bir thday-bitcoin-and-dont-forget-about-cypherpunks-keiser … via @Cointelegraph	maxkeiser	177	49	2018-01-09 21:24:34	950825648037203969	https://twitter.com/maxkeiser/status/950825648037203969			@Cointelegraph	0.44	0.4215	0
bitcoin 	Blockchain without #Bitcoin is a common, ordinary spreadsheet and without much value. Typically, ‘tapeworm’ Jamie Dimon overlooks this. All $ USD shills, like Jamie, are financial terrorists and a threat to us all. pic.twitter.com/xdfnDWl7ct	maxkeiser	342	144	2018-01-09 20:19:44	950809333062930432	https://twitter.com/maxkeiser/status/950809333062930432		#Bitcoin		0.26	-0.2442	0
bitcoin 	Jamie Dimon the tapeworm now says he regrets trash talking #Bitcoin . We called him out on this 5 yrs ago. https:// youtu.be/kw2DskGbE6Q via @YouTube	maxkeiser	222	76	2018-01-09 18:01:16	950774483975049216	https://twitter.com/maxkeiser/status/950774483975049216		#Bitcoin	@YouTube	0.20	-0.1204	0
	An Oil-Backed Cryptocurrency for Venezuela? https:// sputniknews.com/radio_double_d own/201801091060611642-an-oil-backed-cryptocurrency-for-venezuela/ … via @SputnikInt	maxkeiser	57	30	2018-01-09 17:06:19	950760656147447808	https://twitter.com/maxkeiser/status/950760656147447808			@SputnikInt	0.18	0.0	0
bitcoin 	Hollywood #TimesUp - Stop the penis envy (it’s a waste of time). Buy crypto instead, and buy your way to the top. I recommended this when #Bitcoin was $3. You could have bought one of the major studios by now. pic.twitter.com/3goSCsE1vj	maxkeiser	65	21	2018-01-09 16:15:41	950747916062294017	https://twitter.com/maxkeiser/status/950747916062294017		#TimesUp #Bitcoin		-0.22	-0.0645	0
bitcoin 	#FRESH - TODAY’S KEISER REPORT: @CharlieShrem #BITCOIN #SEGWIT And A Fresh Trillion Dollars for World's Wealthiest in 2017 (E1173) https:// youtu.be/ywlbtHdJumg via @YouTube pic.twitter.com/9yy7bw0DZR	maxkeiser	47	19	2018-01-09 15:46:45	950740631873359878	https://twitter.com/maxkeiser/status/950740631873359878		#FRESH #BITCOIN #SEGWIT	@CharlieShrem @YouTube	0.08	0.6705	0
	Paul Dourov veut lancer une crypto-monnaie au sein de Telegram. Probablement l'un des évènements les plus importants du moment tant il est emblématique de ce qui est à venir dans la technologie @philrod https:// siecledigital.fr/2018/01/09/tel egram-lancer-cryptomonnaie-ico/ …	babgi	41	56	2018-01-09 17:17:54	950763570890969088	https://twitter.com/babgi/status/950763570890969088			@philrod	0.03	0.0	0
litecoin 	Yes, but they would have to give up on the fees for the other transactions. So other miners can profit from that. If that hurts Litecoin, miners may decide to leave those pools. And not all SPV clients will do median. Some may pay the lowest and be willing to wait.	SatoshiLite	5	1	2018-01-09 21:16:28	950823610452623360	https://twitter.com/SatoshiLite/status/950823610452623360				0.22	-0.0629	0
	It must be a slow news day in crypto-currency land when articles are written about a retweet of mine... A retweet for exposure with no comment from me btw. https:// twitter.com/bitsonlinecom/ status/950564248723382273 …	SatoshiLite	1519	249	2018-01-09 05:20:11	950582950386544641	https://twitter.com/SatoshiLite/status/950582950386544641				0.21	-0.148	0
