ethereum 	Yay, more state channel stuff!https://medium.com/@graycoding/lessons-learned-from-making-a-chess-game-for-ethereum-6917c01178b6#.w7cj8iwg0 …	VitalikButerin	90	43	1472881801	771948343698268160	https://twitter.com/VitalikButerin/status/771948343698268160		#	@graycoding
	pic.twitter.com/cLOh17Rgcb	maxkeiser	0	0	1472900374	772026243172667392	https://twitter.com/maxkeiser/status/772026243172667392			
	The Clinton Foundation is a glorified slush-hedge fund with Hillary on her blackberry trading on inside info all day. # AtlasPuked	maxkeiser	145	146	1472899802	772023845041627137	https://twitter.com/maxkeiser/status/772023845041627137		#	
	. @ LynnShawProd @ nypost I thought it meant c***.	maxkeiser	8	4	1472899525	772022680388247552	https://twitter.com/maxkeiser/status/772022680388247552			@ @
	Talking # MegaUpload2point0 # bitcache & @ BankToTheFuture with @ kimdotcom and @ rothken https://youtu.be/DIBM0I_c_X4  http://fb.me/7gjrtHqAT	maxkeiser	9	9	1472899370	772022030069821440	https://twitter.com/maxkeiser/status/772022030069821440		# #	@ @ @
	. @ lessig gets big mention in this @ KimDotcom @ rothken Keiser Report interview > https://www.youtube.com/watch?v=XQRQdNvja00 … KIM'S FIGHT IS OUR FIGHT	maxkeiser	6	9	1472898192	772017092832927744	https://twitter.com/maxkeiser/status/772017092832927744			@ @ @
	[video] Hotspots with Max Keiser - Crisis In Ireland (1/2) https://www.youtube.com/watch?v=A5zXU1bQ3tQ&feature=share …	maxkeiser	15	10	1472890696	771985650451091456	https://twitter.com/maxkeiser/status/771985650451091456			
	Coût des JO : à peu près rien à voir avec la puissance économique des nations organisatrices... # datavizpic.twitter.com/tUS305Btwc	babgi	56	80	1472925659	772132296975605760	https://twitter.com/babgi/status/772132296975605760		#	
	@ HammerNation19 picked @ UHCougars to beat @ OU_Football on Friday. # Nostradamus	JimMarous	0	0	1472934974	772171367634599936	https://twitter.com/JimMarous/status/772171367634599936		#	@ @ @
	New record for total yards (776 so far) and most points since 1950 (77 so far) @ OhioStateFB. http://bit.ly/2ciC5r0 # GoBucks	JimMarous	7	6	1472931124	772155217173327872	https://twitter.com/JimMarous/status/772155217173327872		#	@
	Hey Siri, send John $10 http://ln.is/www.finextra.com/new/jZQlx … # fintech # voice @ square @ monzo	JimMarous	11	13	1472911252	772071869222686720	https://twitter.com/JimMarous/status/772071869222686720		# #	@ @
	# Fintech Startup Dilemma: Is # Banking Friend or Foe? http://on.wsj.com/2c79JTr  via @ WSJMoneyBeat # startuppic.twitter.com/r1H8YhPCsj	JimMarous	20	30	1472911161	772071485057798144	https://twitter.com/JimMarous/status/772071485057798144		# # #	@
