	Yes. Reach out to v@buterin.com anytime.	VitalikButerin	9	1	1490867975	847387823388868608	https://twitter.com/VitalikButerin/status/847387823388868608			@buterin
	Great to chat with the @ MediaplanetCA team about cybersecurity, privacy, and of course # blockchain!http://bit.ly/2omqz3H	dtapscott	13	8	1490903594	847537220236046339	https://twitter.com/dtapscott/status/847537220236046339		#	@
	Fun pic boys! @ ConsenSysAndrew @ VitalikButerinpic.twitter.com/4m7R8DdyLD	dtapscott	17	4	1490869240	847393128789139456	https://twitter.com/dtapscott/status/847393128789139456			@ @
	Bill is passe... RT is the new Rock 'n Roll... https://www.google.com/amp/www.independent.co.uk/news/world/americas/max-keiser-barack-obama-is-clueless-mitt-romney-will-bankrupt-the-country-8269633.html%3Famp …https://twitter.com/nakri/status/835695527127744513 …	maxkeiser	37	17	1490910173	847564813081247744	https://twitter.com/maxkeiser/status/847564813081247744			
	...While giving privacy-terrorists @ comcast @ nbc @ nbcsnl @ MSNBC @ maddow a free ride. https://twitter.com/fanojung/status/847545940428959744 …	maxkeiser	11	7	1490905902	847546900685488128	https://twitter.com/maxkeiser/status/847546900685488128			@ @ @ @ @
	WTF!?https://twitter.com/legittarget/status/847470304687300609 …	maxkeiser	48	20	1490893800	847496141734166528	https://twitter.com/maxkeiser/status/847496141734166528			
	Seems like folks are not fooled by Comcast's dangerous activities in America undermining democracy. @ nbcsnl # LorneMichaelshttps://twitter.com/maxkeiser/status/847134711612948481 …	maxkeiser	20	17	1490888098	847472225129185281	https://twitter.com/maxkeiser/status/847472225129185281		#	@
	Senate hearings today won't mention my RT show, that's seen by millions - 3 x's a week - because:	maxkeiser	20	15	1490887373	847469185751859201	https://twitter.com/maxkeiser/status/847469185751859201			
	Best description of senate's Russia hearings today:	maxkeiser	7	9	1490884237	847456032553160704	https://twitter.com/maxkeiser/status/847456032553160704			
	"Talking about RT (Russia Today) ""Olga Today"" - Taki's Magazine http://takimag.com/article/olga_today_taki/print … via"	maxkeiser	2	3	1490880050	847438469257347073	https://twitter.com/maxkeiser/status/847438469257347073			
	No, Friedman, you fuckwit. FACTS: Sunni KFA in mortal struggle with Shia Iran buys US politicos/media hacks (you) to attack Russia/China.pic.twitter.com/PSVEcfKEcQ	maxkeiser	83	52	1490838459	847264023494012928	https://twitter.com/maxkeiser/status/847264023494012928			
