bitcoin 	https://www. rt.com/business/41409 3-keiser-rasmus-bitcoin-debate/ …	maxkeiser	293	102	2017-12-24 22:56:16	945050520594669569	https://twitter.com/maxkeiser/status/945050520594669569			
	. @LittleHavanaMIA fantastic tour!!! pic.twitter.com/EtbF2P4ucd	maxkeiser	28	2	2017-12-24 18:10:19	944978558992224257	https://twitter.com/maxkeiser/status/944978558992224257			@LittleHavanaMIA
	Those volumes indicate real demand. Very hard to manipulate $10bn+ in daily trade.	VinnyLingham	2	0	2017-12-24 23:31:24	945059358538215426	https://twitter.com/VinnyLingham/status/945059358538215426			
	Thanks!	VinnyLingham	1	0	2017-12-24 23:28:28	945058622836375552	https://twitter.com/VinnyLingham/status/945058622836375552			
bitcoin 	Bitcoin Cash supporters believe Bitcoin has been corrupted by Blockstream and others. What’s your point?	VinnyLingham	1	1	2017-12-24 21:46:53	945033058503221248	https://twitter.com/VinnyLingham/status/945033058503221248			
	Speak in quant please. What percentage of total transfer?	VinnyLingham	1	0	2017-12-24 21:42:16	945031894428610560	https://twitter.com/VinnyLingham/status/945031894428610560			
	That’s how free markets should work! Action not prose.	VinnyLingham	1	0	2017-12-24 21:41:27	945031691147476992	https://twitter.com/VinnyLingham/status/945031691147476992			
	$10 @tipprbot	VinnyLingham	4	0	2017-12-24 21:39:59	945031319758692352	https://twitter.com/VinnyLingham/status/945031319758692352			@tipprbot
	Neither is using the name BCash...	VinnyLingham	2	1	2017-12-24 21:38:47	945031020578971648	https://twitter.com/VinnyLingham/status/945031020578971648			
	If you want decentralization and to be outside of government oversight then you need to deal with the fact that no-one owns the brand.	VinnyLingham	1	0	2017-12-24 21:27:01	945028058221748224	https://twitter.com/VinnyLingham/status/945028058221748224			
	That’s happening next month	VinnyLingham	2	0	2017-12-24 21:17:38	945025695083773952	https://twitter.com/VinnyLingham/status/945025695083773952			
	I should have said “begging”, that’s what I meant. Asking is fine, begging is not.	VinnyLingham	8	0	2017-12-24 21:05:58	945022761734356992	https://twitter.com/VinnyLingham/status/945022761734356992			
bitcoin 	I have to ask one last question: I just put out a tweet storm meant to be in good spirits and asking everyone just to be respectful. Why is one of the first replies from a Core Developer who instantly uses a term that Bitcoin Cash supporters find derogatory?	VinnyLingham	5	0	2017-12-24 21:05:04	945022532691771392	https://twitter.com/VinnyLingham/status/945022532691771392			
bitcoin litecoin 	Because BCash hasn’t launched yet : https:// medium.com/@freetrade68/a nnouncing-bcash-8b938329eaeb?source=linkShare-220c1c547a96-1514145674 … And in terms of Bitcoin Cash vs Litecoin - the market cap is significantly bigger with more liquidity.	VinnyLingham	6	2	2017-12-24 21:01:57	945021749313159168	https://twitter.com/VinnyLingham/status/945021749313159168			@freetrade68
	In the spirit of the holidays, I wish you all: Peace in Crypto and Goodwill to All Men & Women! Happy 2018!	VinnyLingham	223	17	2017-12-24 20:54:45	945019937298399232	https://twitter.com/VinnyLingham/status/945019937298399232			
	I’ll make the first step by committing to not engage in any more debates around the block size, or store of value vs payments, etc but if I see that the negative rhetoric doesn’t scale down then I’ll saddle up again.	VinnyLingham	84	6	2017-12-24 20:54:44	945019935075348480	https://twitter.com/VinnyLingham/status/945019935075348480			
bitcoin 	Both are children of the genesis block and Bitcoin Cash has sufficient liquidity and market cap that it cannot be ignored. That said, if you think the other is scam, then just ignore it - what’s the point of fighting, the truth will out in the end.	VinnyLingham	74	9	2017-12-24 20:54:44	945019933930299392	https://twitter.com/VinnyLingham/status/945019933930299392			
bitcoin 	Bottom line, let’s just move on and stop fighting. Focus on whichever philosophy you feel most strongly aligned too. Bitcoin Cash should use the green logo and Bitcoin should keep the orange logo. Hard to confuse them and I think it’s becoming very clear which is which.	VinnyLingham	85	5	2017-12-24 20:54:44	945019932672106497	https://twitter.com/VinnyLingham/status/945019932672106497			
bitcoin 	If you’re long on Bitcoin itself as a technology, you should own both in a ratio of 1 BTC : 1 BCH to avoid risk of either side winning/losing, if you favor BCH, hold maybe 2-3+ BCH for every BTC you own, if you favor BTC religiously, then dump your BCH but remember you bear risk.	VinnyLingham	103	25	2017-12-24 20:54:43	945019930629386240	https://twitter.com/VinnyLingham/status/945019930629386240			
bitcoin 	I’m also going to stop calling out hypocrisy in either camp and focus on the positives going into 2018. We have two experiments running - Bitcoin Cash & Bitcoin Core - let’s see who wins in a year’s time.	VinnyLingham	168	14	2017-12-24 20:54:43	945019929438195712	https://twitter.com/VinnyLingham/status/945019929438195712			
bitcoin 	Bitcoin Cash can focus on their vision and Bitcoin can continue along their path. If you feel disenchanted by one camp, switch to the other. If you hate both, move to an alt coin - but let’s just stop the bickering.	VinnyLingham	158	25	2017-12-24 20:54:43	945019928263909376	https://twitter.com/VinnyLingham/status/945019928263909376			
bitcoin 	If you want fast, cheap payments, use Bitcoin Cash. If you want to buy into the Store of Value theory for Bitcoin, then buy and hold it. Mudslinging back and forth between both camps is a waste of time.	VinnyLingham	205	36	2017-12-24 20:54:42	945019926472941569	https://twitter.com/VinnyLingham/status/945019926472941569			
	Here’s a proposal on the block size debate: Let’s stop arguing about it. There is zero consensus for a block size increase for BTC in 2018. Equally, let’s stop asking companies to adopt Segwit or Lightning.	VinnyLingham	267	66	2017-12-24 20:54:41	945019922672795648	https://twitter.com/VinnyLingham/status/945019922672795648			
	Amazing how the loudest voices in crypto liberally resort to ad hominems.	VinnyLingham	1	0	2017-12-24 20:16:45	945010374054522880	https://twitter.com/VinnyLingham/status/945010374054522880			
	Sounds like institutions to me...	VinnyLingham	0	0	2017-12-24 20:09:56	945008658227720192	https://twitter.com/VinnyLingham/status/945008658227720192			
	Please show me where in the white paper this is called out? Or in any of Satoshi’s online posts...	VinnyLingham	1	0	2017-12-24 19:58:08	945005691751645184	https://twitter.com/VinnyLingham/status/945005691751645184			
	$10 @tipprbot	VinnyLingham	12	0	2017-12-24 19:13:22	944994424504725504	https://twitter.com/VinnyLingham/status/944994424504725504			@tipprbot
bitcoin 	Bitcoin was created to disrupt many things, but which one was the PRIMARY intended target, as per the original white paper:	VinnyLingham	63	43	2017-12-24 18:37:19	944985352934060032	https://twitter.com/VinnyLingham/status/944985352934060032			
	You’ve never been an entrepreneur before have you?	VinnyLingham	0	0	2017-12-24 17:58:03	944975470637957120	https://twitter.com/VinnyLingham/status/944975470637957120			
	Check out a crypto I backed called @GetWala	VinnyLingham	4	1	2017-12-24 17:39:20	944970761059540993	https://twitter.com/VinnyLingham/status/944970761059540993			@GetWala
	Not sure why these trolls are always rooting for a negative sum game. Collaboration is a win/win for everyone.	VinnyLingham	6	0	2017-12-24 08:42:58	944835777673834496	https://twitter.com/VinnyLingham/status/944835777673834496			
	Loved it!	VinnyLingham	1	0	2017-12-24 08:29:41	944832436701077504	https://twitter.com/VinnyLingham/status/944832436701077504			
	Spoiler alert if you yet haven’t seen Episode V of Star Wars. Actually, never mind - if you haven’t seen it by now, you deserve a spoiler ;) https:// twitter.com/bessbell/statu s/944823494042304512 …	VinnyLingham	45	7	2017-12-24 08:28:37	944832165480505344	https://twitter.com/VinnyLingham/status/944832165480505344			
	$5 @tipprbot	VinnyLingham	27	0	2017-12-24 07:50:14	944822507755810816	https://twitter.com/VinnyLingham/status/944822507755810816			@tipprbot
