currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	lex_sent	vader_sent	cnn_sent
ethereum 	"Saw it. But the article uses ""tx volume"" as a synonym for ""amount of ETH sent"", which is not how anyone in ethereum uses the term."	VitalikButerin	4	4	1506149785	911484380287164416	https://twitter.com/VitalikButerin/status/911484380287164416				-0.04	0.1806	0
ethereum 	> These addrs account for 67.5% of all transferred ETH and constitute 8.5% of the total number of transactions on Ethereum	VitalikButerin	40	5	1506141897	911451294077829120	https://twitter.com/VitalikButerin/status/911451294077829120				0.14	0.0772	0
bitcoin 	Ten confirmed financial terrorists lose their s*** over # Bitcoinhttps://twitter.com/money/status/911608086770733057 …	maxkeiser	183	109	1506184006	911627914046709760	https://twitter.com/maxkeiser/status/911627914046709760		#		0.60	-0.7783	0
bitcoin 	$6,000 in sight. # Bitcoin. Ray Dalio is spectacularly wrong.pic.twitter.com/0567Jsy42D	maxkeiser	71	25	1506168521	911562963672354816	https://twitter.com/maxkeiser/status/911562963672354816		#		0.40	0.0	0
ethereum 	Assez impressionnant : la valorisation de l'Ethereum est vraisemblablement totalement fictivehttps://blog.cyber.fund/huge-ethereum-mixer-6cf98680ee6c …	babgi	49	35	1506169360	911566482542415872	https://twitter.com/babgi/status/911566482542415872				0.09	0.0	0
litecoin 	Litecoin 0.15.0.1rc1 is out. Help us test this before final release. Check release notes for all the improvements! https://blog.litecoin.org/litecoin-core-v0-15-0-1-e3c414ce86ee …	SatoshiLite	871	322	1506201324	911700550462222336	https://twitter.com/SatoshiLite/status/911700550462222336				0.32	0.1955	0
bitcoin 	When bankers talk about # Bitcoin, remember the five stages of grief. He is not the first and will not be the last.https://youtu.be/43Ucj6_Erb0?t=2m42s …	aantonop	334	156	1506181200	911616145236611073	https://twitter.com/aantonop/status/911616145236611073		#		0.26	-0.1646	0
ethereum 	Totally possible. My other theory is it's just the Ethereum foundation folks recycling their money through ICOs to compound profits.	ummjackson	8	0	1506194483	911671859426422784	https://twitter.com/ummjackson/status/911671859426422784				-0.05	0.2202	0
bitcoin 	Sidenote: Can someone please do this same analysis for Bitcoin?	ummjackson	4	0	1506194243	911670850960605184	https://twitter.com/ummjackson/status/911670850960605184				0.40	0.3182	0
bitcoin 	Luke is also author of the Bitcoin Knots client: http://bitcoinknots.org/ pic.twitter.com/j9rLB89Hbo	TuurDemeester	41	7	1506195812	911677431932743684	https://twitter.com/TuurDemeester/status/911677431932743684				0.30	0.0	0
bitcoin 	If you were doing due diligence on a Bitcoin cold storage service provider, what questions would you focus on?	TuurDemeester	56	5	1506195006	911674052749742081	https://twitter.com/TuurDemeester/status/911674052749742081				-0.16	0.0	0
bitcoin 	He just verified the Bitcoin donation address: http://luke.dashjr.org/tmp/verify/20170923-Irma-address.txt …	TuurDemeester	15	2	1506193193	911666446891184128	https://twitter.com/TuurDemeester/status/911666446891184128				0.50	0.0	0
bitcoin 	Luke just verified the Bitcoin donation address: http://luke.dashjr.org/tmp/verify/20170923-Irma-address.txt …	TuurDemeester	12	6	1506192816	911664866678726657	https://twitter.com/TuurDemeester/status/911664866678726657				0.50	0.0	0
bitcoin 	Over $2,000 raised so far in the fundraiser for Bitcoin core dev Luke Dashjr: https://medium.com/@tuurdemeester/fundraiser-for-luke-dashjr-2a4c0afb96a8 …	TuurDemeester	108	47	1506192759	911664628102520833	https://twitter.com/TuurDemeester/status/911664628102520833			@tuurdemeester	0.20	0.0	0
bitcoin 	Sorry, yes that's also a quote from Gavin: https://bitcointalk.org/index.php?topic=62037.0 …	TuurDemeester	4	1	1506188558	911647006229237760	https://twitter.com/TuurDemeester/status/911647006229237760				0.00	0.34	0
bitcoin 	I donated because he has done so much for Bitcoin in the past years, and this is a great way for me to show some appreciation for that.	TuurDemeester	11	1	1506186019	911636355364655105	https://twitter.com/TuurDemeester/status/911636355364655105				0.71	0.8126	0
bitcoin 	@ LukeDashjr is aware of the fundraiser, I expect him to verify the Bitcoin address very soon. ( 1Cyc4X8ES9Qvsqc8FBupLdTLKnbxo6wmUj )	TuurDemeester	16	1	1506184759	911631073217523714	https://twitter.com/TuurDemeester/status/911631073217523714			@	0.45	0.0	0
	Baby steps towards decentralized cryptocurrency exchanges. Exciting!https://twitter.com/SatoshiLite/status/911328252928643072 …	TuurDemeester	290	63	1506124740	911379332962095104	https://twitter.com/TuurDemeester/status/911379332962095104				0.14	0.1804	0
bitcoin 	The exante guys were early - I think they were the first Bitcoin fund, in 2013.	TuurDemeester	12	2	1506123658	911374797841534977	https://twitter.com/TuurDemeester/status/911374797841534977				0.06	0.0	0
bitcoin 	I remember a poll about Bitcoiners in 2012, and the mean age was 30 then I believe.	TuurDemeester	2	1	1506123247	911373072392966144	https://twitter.com/TuurDemeester/status/911373072392966144				-0.12	0.0	0
