currency	tweet	username	favorites	retweets	date	id	permalink	geo	hashtags	mentions	sent	vader_sent
bitcoin 	Missted this funny (cynical) explanation of #Bitcoin brought to you by Seth Myers. https://www. youtube.com/watch?v=aeMv9u KpAZg&feature=youtu.be …	dtapscott	22	16	1515782158	951885481284907010	https://twitter.com/dtapscott/status/951885481284907010		#Bitcoin		0.24	0.2202
bitcoin 	Keiser Report: Bitcoin Boosting Japan's GDP (E1174) https:// youtu.be/6aMI-GSR0H8 via @YouTube pic.twitter.com/mcE3F4i2sS	maxkeiser	169	63	1515791937	951926496570028037	https://twitter.com/maxkeiser/status/951926496570028037			@YouTube	0.08	0.34
bitcoin 	A US govt shutdown would be great for #Bitcoin . pic.twitter.com/3AeWi2yIuZ	maxkeiser	292	70	1515771528	951840894658990081	https://twitter.com/maxkeiser/status/951840894658990081		#Bitcoin		0.73	0.3125
bitcoin 	Worth keeping in mind that you should probably never bet against or go short on: 1) Bitcoin 2) @ElonMusk 3) #TomBrady	VinnyLingham	722	147	1515742203	951717896299823104	https://twitter.com/VinnyLingham/status/951717896299823104		#TomBrady	@ElonMusk	0.38	0.2263
bitcoin 	On the contrary - that’s how it was designed. I wrote about it here : https:// vinnylingham.com/a-tale-of-two- bitcoins-20375d49d3d3 …	VinnyLingham	7	2	1515733682	951682158803927040	https://twitter.com/VinnyLingham/status/951682158803927040				0.00	0.0
bitcoin 	This isn't surprising at all. If we want Bitcoin to just be digital gold, then the number of use cases shrink, along with utility, which opens the door to the other cryptocurrencies success. Bitcoin with a 1mb block size will never get to 90% dominance again, but maybe that's ok? https:// twitter.com/qz/status/9516 11785811021825 …	VinnyLingham	508	111	1515723320	951638696985423872	https://twitter.com/VinnyLingham/status/951638696985423872				0.22	0.1875
	http://www. complex.com/life/2018/01/j ohn-mcafee-hookers-weed-sex-cryptocurrency …	officialmcafee	389	55	1515762658	951803694147952640	https://twitter.com/officialmcafee/status/951803694147952640				0.25	0.0
	After being fooled once, every ICO that has been submitted to me for consideration is now being audited by the team at http://www. cryptocoinconnection.com . any future ICO recommendations will be accompanied by their full audit report. pic.twitter.com/MIlIFAwxD5	officialmcafee	1849	296	1515714351	951601077132152832	https://twitter.com/officialmcafee/status/951601077132152832				0.39	-0.1273
bitcoin 	Bitcoin Cash, unlike Bitcoin Core, is both a medium of exchange and a store of value.	rogerkver	1760	453	1515779881	951875932096204800	https://twitter.com/rogerkver/status/951875932096204800				0.12	0.34
bitcoin 	Bitcoin Q&A: Running nodes and payment channels https:// youtu.be/ndcfBfE_yoY	aantonop	392	149	1515786661	951904367468216326	https://twitter.com/aantonop/status/951904367468216326				-0.11	0.0
	I really should have added an /s to that tweet :) Crypto doesn't have nominal face value.	ummjackson	0	0	1515779646	951874943813234688	https://twitter.com/ummjackson/status/951874943813234688				0.24	0.6597
bitcoin 	Bitcoin priced in grams of gold: pic.twitter.com/EqWIpyTh6x	TuurDemeester	313	129	1515757354	951781444032057344	https://twitter.com/TuurDemeester/status/951781444032057344				-0.14	0.0
bitcoin 	https:// medium.com/@tuurdemeester /bitcoin-digital-gold-or-digital-cash-both-382a346e6c79 …	TuurDemeester	3	0	1515756846	951779316420968448	https://twitter.com/TuurDemeester/status/951779316420968448			@tuurdemeester	0.25	0.0
	For the individual there's a cost to adopting cryptocurrency as money/SoV: running nodes, diversifying among custodians, etc. This adds to the diminished utility of adding more coins, esp. given that smaller coins have weaker network security & weaker infrastructure support. https:// twitter.com/TuurDemeester/ status/951455693164433408 …	TuurDemeester	69	20	1515756801	951779124552650752	https://twitter.com/TuurDemeester/status/951779124552650752				0.09	-0.0445
bitcoin 	Bitcoin main chain = settlement layer https:// twitter.com/lopp/status/95 1599531300413442 …	TuurDemeester	111	27	1515756045	951775956380897280	https://twitter.com/TuurDemeester/status/951775956380897280				-0.10	0.0
	https://www. cnbcafrica.com/videos/2018/01 /12/crypto-trader-ep-22-cryptocurrency-trading-with-ran-neu-ner/ …	cryptomanran	25	4	1515782539	951887079956537344	https://twitter.com/cryptomanran/status/951887079956537344				0.25	0.0
